event,zenodo_record,filename,expected_size_bytes,observed_size_bytes,expected_md5,observed_md5,sha256,identity_pass,deleted_after_use,download_seconds
GW240414_054515,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240414_054515-combined_PEDataRelease.hdf5,235225876,235225876,8e1ff0d50c3cbcd39a5921be0e863815,8e1ff0d50c3cbcd39a5921be0e863815,dfb4eb1a3e3b50da1a19b5ee89349e7848e788ef5ce1fa9036ff832c0f93b35a,True,True,56.54997121299675
GW240420_175625,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240420_175625-combined_PEDataRelease.hdf5,106658828,106658828,7be786533108704196e1ee7026dc2609,7be786533108704196e1ee7026dc2609,7cbd8f605f7eaeb40006f4e63acfd387854c49799c46719290aad6dd9dbfcdd7,True,True,124.11337944800107
GW240426_031451,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240426_031451-combined_PEDataRelease.hdf5,166318756,166318756,48b990dd71967e4a4fee450ad3abfa8c,48b990dd71967e4a4fee450ad3abfa8c,052138e614aa3f9f2721b2428733a1685f7d14a759bcc0491775547cbde97007,True,True,79.19668751399877
GW240505_133552,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240505_133552-combined_PEDataRelease.hdf5,202688308,202688308,0330d1aa57f9bde9dbea622da5b8e0ab,0330d1aa57f9bde9dbea622da5b8e0ab,49d189b30070419498c46b282e23f5d55841184d3f999577590c7c4c4ad82197,True,True,50.56156645200099
GW240515_005301,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240515_005301-combined_PEDataRelease.hdf5,247660180,247660180,61b15abe35ad71a0e2b1d30341401c68,61b15abe35ad71a0e2b1d30341401c68,53fd199f547e19a4870b027c0ea338d2aa8c61056e53280feffc8ab79b78e823,True,True,156.41960857700178
GW240618_071627,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240618_071627-combined_PEDataRelease.hdf5,148338260,148338260,2ef71b169a6d2481942816360366c734,2ef71b169a6d2481942816360366c734,63478af2a1f6313e223514bed7d9924113abfe76edb075a6acdf16544c607953,True,True,58.63643799700003
GW240621_214041,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240621_214041-combined_PEDataRelease.hdf5,206180996,206180996,a1d76263f4994e9ebfd5d9b23ca97613,a1d76263f4994e9ebfd5d9b23ca97613,7ceb8d1d7e9a50d373d4d638b894b5ae9207ec180d6fdb83df6371d6b2348241,True,True,212.54139568100072
GW240703_191355,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240703_191355-combined_PEDataRelease.hdf5,213705244,213705244,b3c2c89e70d7be9975a775a86920d3f8,b3c2c89e70d7be9975a775a86920d3f8,5f6c052e64c25c1b50ead17c3ec498be29887a1e0dad2f1b75bb818a05c75540,True,True,251.05494702899887
GW240716_034900,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240716_034900-combined_PEDataRelease.hdf5,186770164,186770164,ba62bbb2da44a6abfd0219176d513495,ba62bbb2da44a6abfd0219176d513495,b2c96eddf991890098dd2196f7572ae7a60bc39ee3fe0ef6e4e498493c0b40c3,True,True,210.02485485099896
GW240924_000316,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240924_000316-combined_PEDataRelease.hdf5,222234420,222234420,8fd87df7db991dd31fcac218eef03afe,8fd87df7db991dd31fcac218eef03afe,8c2c05b4fdd3d8c533bd11ac9f4e49c5416d699af0ec2ca474925d7df31a0e4e,True,True,240.8332670000018
GW241002_030559,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241002_030559-combined_PEDataRelease.hdf5,249970764,249970764,2eb447584d46d8fbe408232586d88010,2eb447584d46d8fbe408232586d88010,5b0a1899bcff48666c3e19657f2a7fc60198607fd3d20c4d1f255dd706251c6a,True,True,50.84344537599827
GW241009_022835,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241009_022835-combined_PEDataRelease.hdf5,207099692,207099692,1bb20b6a317ca108b000f1e0a00fc4c1,1bb20b6a317ca108b000f1e0a00fc4c1,b4a1710b10fb02a7511ba1d81232ab74c974118a8354c98a300515cf28b1ad64,True,True,206.82898905600086
GW241101_220523,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241101_220523-combined_PEDataRelease.hdf5,189520596,189520596,01e62d1344279846553b17dc49677a7b,01e62d1344279846553b17dc49677a7b,0fb14a047bded6483535087837dfeab46078b0ec40b4c96c5fc65e6e924f7e7d,True,True,65.80935232900083
GW241109_033317,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241109_033317-combined_PEDataRelease.hdf5,209267612,209267612,5d6a7ab116df6a2786e7c48ea9628a3f,5d6a7ab116df6a2786e7c48ea9628a3f,feb3131d5670f5f493f1fee82867b01209606ef97c80cb0f0a77a3d078dc961b,True,True,241.54708859200036
