event,parameter,model_a,model_b,corrected_S90
GW240515_005301,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.04146935939625664
GW240515_005301,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.030405687171481902
GW240515_005301,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.20243313906996566
GW240515_005301,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.12957100497631577
GW240515_005301,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.07474782028164229
GW240515_005301,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.07069471503943019
GW240515_005301,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.019595141972825855
GW240515_005301,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.051016916799913374
GW240515_005301,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04245872598639499
GW240515_005301,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03777063999398446
GW240515_005301,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.003956664465959135
GW240515_005301,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.10874655687890798
GW240515_005301,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.18976140519945175
GW240515_005301,final_spin,IMRPhenomXPNR,NRSur7dq4,0.07729094905572023
GW240618_071627,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.014530695051786571
GW240618_071627,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.026321139890623867
GW240618_071627,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.012043152392238661
GW240618_071627,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.07626665873462975
GW240618_071627,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03458603049497638
GW240618_071627,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.04167244479164376
