event,repetition,event_median_balanced_norm_W1
GW240414_054515,0,0.09142140670398495
GW240414_054515,1,0.0953874833226875
GW240414_054515,2,0.07977649382382
GW240414_054515,3,0.10355850265149426
GW240414_054515,4,0.08309840935135296
GW240414_054515,5,0.08712123742820538
GW240414_054515,6,0.08936430425064645
GW240414_054515,7,0.09404624113737492
GW240414_054515,8,0.10389852187990821
GW240414_054515,9,0.10222671906939365
GW240414_054515,10,0.09279003448968193
GW240414_054515,11,0.08876430376289189
GW240414_054515,12,0.08664150719745978
GW240414_054515,13,0.08403952308685725
GW240414_054515,14,0.09700555671050218
GW240414_054515,15,0.10119286708350844
GW240414_054515,16,0.07261176164168416
GW240414_054515,17,0.08887765904901972
GW240414_054515,18,0.10799851492964896
GW240414_054515,19,0.09458014952938279
GW240414_054515,20,0.08832426126965238
GW240414_054515,21,0.10180791281841547
GW240414_054515,22,0.1019110762410358
GW240414_054515,23,0.09818268510757829
GW240414_054515,24,0.09156725028875361
GW240414_054515,25,0.08826220050063327
GW240414_054515,26,0.10930750668792463
GW240414_054515,27,0.10245005225468615
GW240414_054515,28,0.08853365683180132
GW240414_054515,29,0.08232953002516752
GW240414_054515,30,0.10841437298226188
GW240414_054515,31,0.09133001405370589
GW240414_054515,32,0.08901275270052435
GW240414_054515,33,0.10683288269415797
GW240414_054515,34,0.08233403393068861
GW240414_054515,35,0.10106460520690161
GW240414_054515,36,0.08409938894114426
GW240414_054515,37,0.11355794173583468
GW240414_054515,38,0.08610678620951187
GW240414_054515,39,0.09378050030179298
GW240414_054515,40,0.09642376480565391
GW240414_054515,41,0.09411942265242706
GW240414_054515,42,0.09604868302595534
GW240414_054515,43,0.09475873205439161
GW240414_054515,44,0.10137965963276055
GW240414_054515,45,0.10151949792235063
GW240414_054515,46,0.09376737345944904
GW240414_054515,47,0.11078747984721352
GW240414_054515,48,0.10509758368458672
GW240414_054515,49,0.10107878768066826
GW240414_054515,50,0.09754892266850251
GW240414_054515,51,0.10506873791035516
GW240414_054515,52,0.09386110582692597
GW240414_054515,53,0.10267892852799602
GW240414_054515,54,0.09734476948541816
GW240414_054515,55,0.1006880887453258
GW240414_054515,56,0.07961899435944189
GW240414_054515,57,0.09068012483357957
GW240414_054515,58,0.1045238597619708
GW240414_054515,59,0.08593720494582202
GW240414_054515,60,0.09996505003382142
GW240414_054515,61,0.08191603760532346
GW240414_054515,62,0.08361950760749026
GW240414_054515,63,0.0985728249777185
GW240414_054515,64,0.08245771794937982
GW240414_054515,65,0.08868545277427768
GW240414_054515,66,0.10679988357873998
GW240414_054515,67,0.10377027622916242
GW240414_054515,68,0.10965608338558687
GW240414_054515,69,0.09105993875404614
GW240414_054515,70,0.0990076127323994
GW240414_054515,71,0.10379985203557784
GW240414_054515,72,0.08101782491044461
GW240414_054515,73,0.08760537316951207
GW240414_054515,74,0.09361003543232846
GW240414_054515,75,0.09902257035236212
GW240414_054515,76,0.0947947061252561
GW240414_054515,77,0.10834382657596345
GW240414_054515,78,0.11046129483158043
GW240414_054515,79,0.10091104137328102
GW240420_175625,0,0.03945089073982264
GW240420_175625,1,0.04827814935653516
GW240420_175625,2,0.029681418230551752
GW240420_175625,3,0.0400951519160327
GW240420_175625,4,0.037875544870787384
GW240420_175625,5,0.04292595351760655
GW240420_175625,6,0.046151406190598314
GW240420_175625,7,0.04154686500966368
GW240420_175625,8,0.03434153125124959
GW240420_175625,9,0.04707939756693547
GW240420_175625,10,0.04886418596081109
GW240420_175625,11,0.046580827968990365
GW240420_175625,12,0.034578771757834026
GW240420_175625,13,0.04466145683116908
GW240420_175625,14,0.040904856238093285
GW240420_175625,15,0.03955789753147966
GW240420_175625,16,0.040890540341745184
GW240420_175625,17,0.04398995583795738
GW240420_175625,18,0.04316169817067652
GW240420_175625,19,0.04490095597489845
GW240420_175625,20,0.05156234192662838
GW240420_175625,21,0.038748272018044115
GW240420_175625,22,0.0403155699409703
GW240420_175625,23,0.04142002015591946
GW240420_175625,24,0.03953444279818452
GW240420_175625,25,0.04062283252830001
GW240420_175625,26,0.03228496200184454
GW240420_175625,27,0.047082020425677176
GW240420_175625,28,0.0367027028553417
GW240420_175625,29,0.04032829886147953
GW240420_175625,30,0.047206503389264465
GW240420_175625,31,0.03958673956266143
GW240420_175625,32,0.04332793245368676
GW240420_175625,33,0.041057030421470735
GW240420_175625,34,0.04591908300860437
GW240420_175625,35,0.03396763824004782
GW240420_175625,36,0.042888282712534906
GW240420_175625,37,0.04076431540103541
GW240420_175625,38,0.030848620774879126
GW240420_175625,39,0.043528678241434464
GW240420_175625,40,0.03819281812350908
GW240420_175625,41,0.03802485695206587
GW240420_175625,42,0.031273118227995146
GW240420_175625,43,0.042348593917680685
GW240420_175625,44,0.02562936205383219
GW240420_175625,45,0.03203713145444804
GW240420_175625,46,0.0414614981162746
GW240420_175625,47,0.036246361606019635
GW240420_175625,48,0.0315839692697189
GW240420_175625,49,0.036535645900959514
GW240420_175625,50,0.04013483319542176
GW240420_175625,51,0.05070747616441949
GW240420_175625,52,0.03496500087983227
