event,model,parameter,median,lower_error,upper_error,q05_reconstructed,q95_reconstructed,mask_pass,finite_pass,nonnegative_error_pass,positive_width_pass,triplet_pass
GW240414_054515,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,27.143716926409326,2.7983620901573616,3.6062016416558222,24.345354836251964,30.749918568065148,True,True,True,True,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,chi_eff,0.029907255213019377,0.21224724303760453,0.2178562772881798,-0.18233998782458516,0.24776353250119917,True,True,True,True,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,luminosity_distance,1525.4837741479232,581.3992772640466,683.327356494497,944.0844968838766,2208.8111306424203,True,True,True,True,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,final_mass_source,62.15029285990327,5.976557196175143,8.040249521265103,56.173735663728124,70.19054238116837,True,True,True,True,True
GW240414_054515,IMRPhenomXPHM-SpinTaylor,final_spin,0.6872747595571176,0.12142251602203669,0.10511022947007143,0.5658522435350809,0.792384989027189,True,True,True,True,True
GW240414_054515,IMRPhenomXPNR,chirp_mass_source,26.83325248983353,2.7380645082914192,3.4193210184079454,24.09518798154211,30.252573508241476,True,True,True,True,True
GW240414_054515,IMRPhenomXPNR,chi_eff,-0.007431170396127879,0.21981204172085547,0.20276642109269769,-0.22724321211698334,0.19533525069656982,True,True,True,True,True
GW240414_054515,IMRPhenomXPNR,luminosity_distance,1501.6581250543902,573.5799162957783,701.1007907191995,928.0782087586119,2202.7589157735897,True,True,True,True,True
GW240414_054515,IMRPhenomXPNR,final_mass_source,61.84321164738564,5.8845491719122975,8.222617539781346,55.95866247547334,70.06582918716698,True,True,True,True,True
GW240414_054515,IMRPhenomXPNR,final_spin,0.6686003101633594,0.12090505403670893,0.09046967430753083,0.5476952561266505,0.7590699844708902,True,True,True,True,True
GW240414_054515,NRSur7dq4,chirp_mass_source,26.977597166956762,2.5947556227279165,3.5229935658268445,24.382841544228846,30.500590732783607,True,True,True,True,True
GW240414_054515,NRSur7dq4,chi_eff,0.009472720261037583,0.20395282566027653,0.19785611878636458,-0.19448010539923896,0.20732883904740215,True,True,True,True,True
GW240414_054515,NRSur7dq4,luminosity_distance,1528.0753767816102,574.4348479252485,697.8586929535165,953.6405288563617,2225.9340697351267,True,True,True,True,True
GW240414_054515,NRSur7dq4,final_mass_source,61.770514142900225,5.756540847871612,7.4024235583353,56.01397329502861,69.17293770123553,True,True,True,True,True
GW240414_054515,NRSur7dq4,final_spin,0.6751135488754512,0.11389272638949555,0.0843532586847805,0.5612208224859556,0.7594668075602317,True,True,True,True,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,24.659559175050042,3.779042577724315,4.619076947489646,20.880516597325727,29.278636122539687,True,True,True,True,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,chi_eff,0.00447105612705628,0.25195475540111595,0.22845448619866063,-0.24748369927405967,0.2329255423257169,True,True,True,True,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,luminosity_distance,2031.0870452586028,1076.7555221916732,1550.3609502000231,954.3315230669295,3581.447995458626,True,True,True,True,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,final_mass_source,56.03102542516268,8.25498323316122,9.796710638039585,47.77604219200146,65.82773606320227,True,True,True,True,True
GW240420_175625,IMRPhenomXPHM-SpinTaylor,final_spin,0.6806027620818915,0.11046551294595341,0.09591083523455679,0.5701372491359381,0.7765135973164483,True,True,True,True,True
GW240420_175625,IMRPhenomXPNR,chirp_mass_source,24.61933934114537,3.626271933148601,4.522492329474517,20.99306740799677,29.141831670619887,True,True,True,True,True
GW240420_175625,IMRPhenomXPNR,chi_eff,-0.02104066292962241,0.24573183753854427,0.23128372307500944,-0.2667725004681667,0.21024306014538702,True,True,True,True,True
GW240420_175625,IMRPhenomXPNR,luminosity_distance,2023.2451491597171,1063.0370507504965,1499.761333553075,960.2080984092206,3523.006482712792,True,True,True,True,True
GW240420_175625,IMRPhenomXPNR,final_mass_source,56.01317533140761,8.131456058232075,9.770669338945325,47.881719273175534,65.78384467035293,True,True,True,True,True
GW240420_175625,IMRPhenomXPNR,final_spin,0.6720175409131851,0.10937729003514851,0.09741638407160402,0.5626402508780366,0.7694339249847891,True,True,True,True,True
GW240420_175625,NRSur7dq4,chirp_mass_source,24.743306465483194,3.7118298864636188,4.680508868543416,21.031476579019575,29.42381533402661,True,True,True,True,True
GW240420_175625,NRSur7dq4,chi_eff,-0.006989492658874054,0.2330432800459848,0.22739674283864975,-0.24003277270485884,0.2204072501797757,True,True,True,True,True
GW240420_175625,NRSur7dq4,luminosity_distance,1986.628695426889,1049.3566687975137,1535.9006363946141,937.2720266293752,3522.529331821503,True,True,True,True,True
GW240420_175625,NRSur7dq4,final_mass_source,56.15984853190318,8.250870133578609,10.042530738749335,47.90897839832457,66.20237927065251,True,True,True,True,True
GW240420_175625,NRSur7dq4,final_spin,0.6704284782485217,0.10063980642943438,0.08911172223072716,0.5697886718190873,0.7595402004792489,True,True,True,True,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,37.103371298075444,6.2509391208950085,8.175062153446824,30.852432177180436,45.27843345152227,True,True,True,True,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,chi_eff,-0.047000177712996756,0.28404714577086754,0.24394468747677056,-0.3310473234838643,0.1969445097637738,True,True,True,True,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,luminosity_distance,4000.28803911404,1969.659397394074,2608.553827063524,2030.6286417199663,6608.841866177564,True,True,True,True,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,final_mass_source,84.2618393965479,12.774869744066919,16.9449221211476,71.48696965248098,101.2067615176955,True,True,True,True,True
GW240426_031451,IMRPhenomXPHM-SpinTaylor,final_spin,0.6721064012809714,0.13272012457887128,0.1064308357032232,0.5393862767021002,0.7785372369841946,True,True,True,True,True
GW240426_031451,IMRPhenomXPNR,chirp_mass_source,37.40736106492003,6.307080689734928,8.238147896840701,31.100280375185104,45.64550896176073,True,True,True,True,True
GW240426_031451,IMRPhenomXPNR,chi_eff,-0.07535700516435578,0.27435133023143615,0.2355104571571965,-0.34970833539579194,0.16015345199284073,True,True,True,True,True
GW240426_031451,IMRPhenomXPNR,luminosity_distance,3910.8932590191985,1901.6621705118357,2575.6462349661674,2009.2310885073628,6486.539493985366,True,True,True,True,True
GW240426_031451,IMRPhenomXPNR,final_mass_source,84.58415762494698,13.309009346908951,17.33775242451904,71.27514827803803,101.92191004946602,True,True,True,True,True
GW240426_031451,IMRPhenomXPNR,final_spin,0.6615660392409382,0.12044957260283928,0.09426382147667012,0.5411164666380989,0.7558298607176083,True,True,True,True,True
GW240426_031451,NRSur7dq4,chirp_mass_source,36.99666136105294,6.083187670941971,7.877781500532187,30.913473690110965,44.87444286158512,True,True,True,True,True
GW240426_031451,NRSur7dq4,chi_eff,-0.04837643299734035,0.28546647923615676,0.23366183137642066,-0.3338429122334971,0.1852853983790803,True,True,True,True,True
GW240426_031451,NRSur7dq4,luminosity_distance,4013.9800748089215,1960.1611789136196,2637.62585265188,2053.818895895302,6651.6059274608015,True,True,True,True,True
GW240426_031451,NRSur7dq4,final_mass_source,83.64939186662276,12.8731697610244,16.458192704183446,70.77622210559836,100.10758457080621,True,True,True,True,True
GW240426_031451,NRSur7dq4,final_spin,0.6649075011910153,0.1221558292374747,0.08942417751721743,0.5427516719535406,0.7543316787082327,True,True,True,True,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,22.978458767642373,3.391499996566491,5.284942382086946,19.58695877107588,28.26340114972932,True,True,True,True,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,chi_eff,-0.1309980413801971,0.2976232833061429,0.254150756614911,-0.42862132468634,0.12315271523471388,True,True,True,True,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,luminosity_distance,4693.063597022441,2125.3325720136654,2588.560531305723,2567.7310250087758,7281.624128328164,True,True,True,True,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,final_mass_source,51.7763684432864,7.332516202878878,11.255640063799902,44.44385224040752,63.0320085070863,True,True,True,True,True
GW240505_133552,IMRPhenomXPHM-SpinTaylor,final_spin,0.6516564869410084,0.13100816283297878,0.10433477889778697,0.5206483241080296,0.7559912658387954,True,True,True,True,True
GW240505_133552,IMRPhenomXPNR,chirp_mass_source,23.03502510326871,3.518586281610638,5.295996651848302,19.51643882165807,28.33102175511701,True,True,True,True,True
GW240505_133552,IMRPhenomXPNR,chi_eff,-0.15468497193733102,0.31099526042598613,0.24768093789645967,-0.4656802323633171,0.09299596595912865,True,True,True,True,True
GW240505_133552,IMRPhenomXPNR,luminosity_distance,4660.510246879368,2114.9040168796028,2642.437821420908,2545.6062299997657,7302.948068300277,True,True,True,True,True
GW240505_133552,IMRPhenomXPNR,final_mass_source,51.93315806734677,7.664039978427859,11.287757833385221,44.26911808891891,63.22091590073199,True,True,True,True,True
GW240505_133552,IMRPhenomXPNR,final_spin,0.6417940442859725,0.13841725048803766,0.09402945630037829,0.5033767937979349,0.7358235005863508,True,True,True,True,True
GW240505_133552,NRSur7dq4,chirp_mass_source,23.083732806288843,3.437402724225773,5.309358492328009,19.64633008206307,28.393091298616852,True,True,True,True,True
GW240505_133552,NRSur7dq4,chi_eff,-0.1365568172725469,0.30780280612794464,0.253311336165469,-0.4443596234004915,0.11675451889292213,True,True,True,True,True
GW240505_133552,NRSur7dq4,luminosity_distance,4683.736388544503,2179.105550927732,2563.566643373203,2504.630837616771,7247.303031917706,True,True,True,True,True
GW240505_133552,NRSur7dq4,final_mass_source,51.960275750216866,7.572864619180905,11.245154274763351,44.38741113103596,63.20543002498022,True,True,True,True,True
GW240505_133552,NRSur7dq4,final_spin,0.6444111907669765,0.1327381718984435,0.09147726220185948,0.511673018868533,0.735888452968836,True,True,True,True,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,22.43484268854728,2.650852593191594,4.780446287504635,19.783990095355687,27.215288976051916,True,True,True,True,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,chi_eff,0.4730403399275578,0.18927108893596117,0.17383196576905124,0.2837692509915966,0.646872305696609,True,True,True,True,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,luminosity_distance,3830.583792167333,1899.5442871433822,1839.4963126444654,1931.0395050239506,5670.080104811798,True,True,True,True,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,final_mass_source,53.188322220192916,7.993372968033988,10.341775544519386,45.19494925215893,63.5300977647123,True,True,True,True,True
GW240515_005301,IMRPhenomXPHM-SpinTaylor,final_spin,0.8401088757824052,0.09297633076397493,0.060993366241840374,0.7471325450184303,0.9011022420242456,True,True,True,True,True
GW240515_005301,IMRPhenomXPNR,chirp_mass_source,22.393809456853745,2.671601980740558,4.776703194234532,19.722207476113187,27.170512651088277,True,True,True,True,True
GW240515_005301,IMRPhenomXPNR,chi_eff,0.4354702825037305,0.20173977512266786,0.17752687498319447,0.23373050738106263,0.612997157486925,True,True,True,True,True
GW240515_005301,IMRPhenomXPNR,luminosity_distance,3700.3895184809467,1833.9705322481534,1793.5521882218095,1866.4189862327933,5493.941706702756,True,True,True,True,True
GW240515_005301,IMRPhenomXPNR,final_mass_source,52.802000120210145,7.846760463045236,10.21316327471424,44.95523965716491,63.015163394924386,True,True,True,True,True
GW240515_005301,IMRPhenomXPNR,final_spin,0.8315821779099917,0.09888366249201241,0.060782239352745515,0.7326985154179793,0.8923644172627372,True,True,True,True,True
GW240515_005301,NRSur7dq4,chirp_mass_source,22.280555520119073,2.580281264128537,4.870460057815599,19.700274255990536,27.151015577934672,True,True,True,True,True
GW240515_005301,NRSur7dq4,chi_eff,0.44940642670862235,0.18605484553209034,0.18044709814214005,0.263351581176532,0.6298535248507624,True,True,True,True,True
GW240515_005301,NRSur7dq4,luminosity_distance,3794.0596350462397,1876.5093763765615,1840.2076134961503,1917.5502586696782,5634.26724854239,True,True,True,True,True
