removed_event,spearman_rho
GW240414_054515,0.9155844155844156
GW240420_175625,0.8896103896103896
GW240426_031451,0.8909090909090909
GW240505_133552,0.887012987012987
GW240515_005301,0.8974025974025974
GW240618_071627,0.8883116883116883
GW240621_214041,0.8909090909090909
GW240703_191355,0.8909090909090909
GW240716_034900,0.912987012987013
GW240924_000316,0.8948051948051948
GW241002_030559,0.912987012987013
GW241009_022835,0.9038961038961039
GW241101_220523,0.8883116883116883
GW241109_033317,0.9038961038961039
GW241125_010116,0.8987012987012987
GW241210_120900,0.8909090909090909
GW241229_155844,0.8896103896103896
GW241230_084504,0.9428571428571428
GW250104_015122,0.8896103896103896
GW250109_074552,0.922077922077922
GW250118_023225,0.9038961038961039
GW250118_170523,0.912987012987013
