branch_a,branch_b,shared_event_count,shared_events,shared_release_count,shared_releases,shared_pipeline_count,shared_pipelines,shared_model_count,shared_models,shared_catalog_count,shared_catalogs,shared_weighting_count,shared_weightings,explicit_ref_a_to_b,explicit_ref_b_to_a
B01,B02,7,GW230630_125806|GW230814_230901|GW230824_033047|GW230825_041334|GW230928_215827|GW231005_091549|GW231206_233901,0,,0,,0,,1,gwtc,0,,0,0
B01,B03,0,,1,GWTC-4,0,,0,,2,des|gwtc,0,,0,3
B01,B04,11,GW230601_224134|GW230609_064958|GW230628_231200|GW230811_032116|GW230824_033047|GW230922_040658|GW230928_215827|GW231206_233134|GW231206_233901|GW231213_111417|GW231223_032836,0,,0,,0,,2,des|gwtc,0,,0,0
B01,B05,0,,0,,0,,0,,2,des|gwtc,0,,0,2
B01,B06,0,,1,GWTC-4,0,,0,,2,des|gwtc,0,,0,1
B01,B07,0,,0,,0,,0,,2,des|gwtc,0,,0,1
B01,B08,0,,0,,0,,0,,2,des|gwtc,1,luminosity,0,1
B02,B03,0,,1,GWTC-5,0,,0,,1,gwtc,0,,0,3
B02,B04,3,GW230824_033047|GW230928_215827|GW231206_233901,1,GWTC-5,0,,0,,1,gwtc,0,,0,0
B02,B05,0,,0,,0,,0,,1,gwtc,0,,0,2
B02,B06,0,,1,GWTC-5,0,,0,,1,gwtc,0,,0,1
B02,B07,0,,1,GWTC-5,0,,0,,1,gwtc,0,,0,0
B02,B08,0,,1,GWTC-5,0,,0,,1,gwtc,0,,0,1
B03,B04,0,,1,GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B03,B05,0,,0,,3,gstlal|mbta|pycbc,0,,2,des|gwtc,0,,0,2
B03,B06,0,,2,GWTC-4|GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B03,B07,0,,1,GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B03,B08,0,,1,GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B04,B05,0,,1,GWTC-4.0,0,,0,,2,des|gwtc,0,,0,2
B04,B06,0,,2,GWTC-4.0|GWTC-5,0,,0,,2,des|gwtc,0,,0,1
B04,B07,0,,1,GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B04,B08,0,,1,GWTC-5,0,,0,,2,des|gwtc,0,,0,0
B05,B06,0,,3,GWOSC|GWTC-4.0|GWTC-4.1,0,,0,,3,des|gwosc|gwtc,0,,0,2
B05,B07,0,,0,,0,,0,,2,des|gwtc,0,,0,0
B05,B08,0,,0,,0,,0,,2,des|gwtc,0,,0,1
B06,B07,0,,2,GWTC-5|O4B,0,,0,,2,des|gwtc,0,,0,0
B06,B08,0,,3,GWTC-5|O4A|O4B,0,,0,,2,des|gwtc,0,,0,0
B07,B08,0,,3,GWTC-5|GWTC-5.0|O4B,0,,0,,2,des|gwtc,0,,0,1
