sequence,allocation_order,candidate_key,detector,channel,request_start_gps,request_end_gps,window_start_gps,window_end_gps,status,sample_rate_hz,dtype,sample_count,expected_sample_count,first_sample_gps,last_sample_exclusive_gps,payload_path,payload_sha256,transport,error_type,error_message
15,2,PAIR:S230606z,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1370069610,1370069627,1370069610.1105216,1370069626.1105216,SUCCESS,16384,float64,262144,262144,1370069610.1105347,1370069626.1105347,work/strain_payload/PAIR_S230606z/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,e9f182091eb3da5ed6cef6684f9940411425fde0df91e0433abb1abf50e42150,nds2.connection.iterate,,
16,2,PAIR:S230606z,L1,L1:GDS-GATED_STRAIN_AR,1370069610,1370069627,1370069610.1105216,1370069626.1105216,SUCCESS,16384,float64,262144,262144,1370069610.1105347,1370069626.1105347,work/strain_payload/PAIR_S230606z/L1/GDS-GATED_STRAIN_AR.npy,ed0da6cc94c309a9128d8ad97af036438cdb86f96c29c659b91f1e90c18e8058,nds2.connection.iterate,,
17,3,PAIR:S231127ag,H1,H1:GDS-CALIB_STRAIN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/H1/GDS-CALIB_STRAIN_AR.npy,fef47584b12ba3aabc9a8e2f741add7a06e2b183b1d887b29bbe92083b099954,nds2.connection.iterate,,
18,3,PAIR:S231127ag,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,3e49412bd202d781289347c5d8084284317fb9cacd189002a1c7207743d28c15,nds2.connection.iterate,,
19,3,PAIR:S231127ag,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,b922b1e47bb7d5c45818fa983218cdd8d98e42f56e4d198450f522b0e18fe1bc,nds2.connection.iterate,,
20,3,PAIR:S231127ag,H1,H1:GDS-GATED_STRAIN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/H1/GDS-GATED_STRAIN_AR.npy,a9fdefd6521e34daa5a99ab0c5da027af39f2fd045dbe2ee089ff0badac62fa1,nds2.connection.iterate,,
21,3,PAIR:S231127ag,L1,L1:GDS-CALIB_STRAIN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/L1/GDS-CALIB_STRAIN_AR.npy,d7bf127f5b808a107646ca42197139b4032462659ffa727c3f8b93ffa66617d0,nds2.connection.iterate,,
22,3,PAIR:S231127ag,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,24c2beb279cdcf09e03022db335567c4b62f714efc15b4c2b3c81c49e062cb42,nds2.connection.iterate,,
23,3,PAIR:S231127ag,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,a502a59a1da6520cc2dccbb16fe347b22a160599663e52996d9862bd912b876b,nds2.connection.iterate,,
24,3,PAIR:S231127ag,L1,L1:GDS-GATED_STRAIN_AR,1385100956,1385100973,1385100956.54143,1385100972.54143,SUCCESS,16384,float64,262144,262144,1385100956.5414429,1385100972.5414429,work/strain_payload/PAIR_S231127ag/L1/GDS-GATED_STRAIN_AR.npy,8e471579b5afdda8b66fe5198dea41d009294b0dfe3a5e257c179fa0363851d1,nds2.connection.iterate,,
25,4,PAIR:S230902af,H1,H1:GDS-CALIB_STRAIN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/H1/GDS-CALIB_STRAIN_AR.npy,84c17dea545a2f907ca9603dbf9cdeee5ef4b483b764503bab6d9cf50c6e9e8f,nds2.connection.iterate,,
26,4,PAIR:S230902af,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,935752d4cb9d0adfb9f27026787a2a7a5b30d640b6d8307fa0b337a53c449fa9,nds2.connection.iterate,,
27,4,PAIR:S230902af,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,935752d4cb9d0adfb9f27026787a2a7a5b30d640b6d8307fa0b337a53c449fa9,nds2.connection.iterate,,
28,4,PAIR:S230902af,H1,H1:GDS-GATED_STRAIN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/H1/GDS-GATED_STRAIN_AR.npy,935752d4cb9d0adfb9f27026787a2a7a5b30d640b6d8307fa0b337a53c449fa9,nds2.connection.iterate,,
29,4,PAIR:S230902af,L1,L1:GDS-CALIB_STRAIN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/L1/GDS-CALIB_STRAIN_AR.npy,9c0e37099220af3567be03dc44b6088fb378c10fab287aa54a88db7bdef37493,nds2.connection.iterate,,
30,4,PAIR:S230902af,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,ad3940758c6040d2aa3aee9f8fcf82e32bbeda426df6eaba56a6de934ad8f07d,nds2.connection.iterate,,
31,4,PAIR:S230902af,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,ad3940758c6040d2aa3aee9f8fcf82e32bbeda426df6eaba56a6de934ad8f07d,nds2.connection.iterate,,
32,4,PAIR:S230902af,L1,L1:GDS-GATED_STRAIN_AR,1377702215,1377702232,1377702215.1832781,1377702231.1832781,SUCCESS,16384,float64,262144,262144,1377702215.1832886,1377702231.1832886,work/strain_payload/PAIR_S230902af/L1/GDS-GATED_STRAIN_AR.npy,5a815626e43785fb8386809a1d5c5a24629bdcfd9c892ab13f14298e3947b72c,nds2.connection.iterate,,
33,5,PAIR:S230630bu,H1,H1:GDS-CALIB_STRAIN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/H1/GDS-CALIB_STRAIN_AR.npy,53524cb09e6ef4f3f32d2b292787447a61af9a8a6eb729ba353a0b51d3e7b78c,nds2.connection.iterate,,
34,5,PAIR:S230630bu,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,4c84a95b29dd5ced94db1ddf2996844a46b748988fbc824681826ad99e270b21,nds2.connection.iterate,,
35,5,PAIR:S230630bu,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,4c84a95b29dd5ced94db1ddf2996844a46b748988fbc824681826ad99e270b21,nds2.connection.iterate,,
36,5,PAIR:S230630bu,H1,H1:GDS-GATED_STRAIN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/H1/GDS-GATED_STRAIN_AR.npy,4c84a95b29dd5ced94db1ddf2996844a46b748988fbc824681826ad99e270b21,nds2.connection.iterate,,
37,5,PAIR:S230630bu,L1,L1:GDS-CALIB_STRAIN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/L1/GDS-CALIB_STRAIN_AR.npy,51623befb839f9295124a8a53362590d98569983ffefae450af65f71cfb24ec8,nds2.connection.iterate,,
38,5,PAIR:S230630bu,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,2451790c006b19cfd430eaf61135b9cd5d9098e6192524dc5939793f30bb1afc,nds2.connection.iterate,,
39,5,PAIR:S230630bu,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,2451790c006b19cfd430eaf61135b9cd5d9098e6192524dc5939793f30bb1afc,nds2.connection.iterate,,
40,5,PAIR:S230630bu,L1,L1:GDS-GATED_STRAIN_AR,1372144029,1372144046,1372144029.0343499,1372144045.0343499,SUCCESS,16384,float64,262144,262144,1372144029.0343628,1372144045.0343628,work/strain_payload/PAIR_S230630bu/L1/GDS-GATED_STRAIN_AR.npy,c7580426481896cfb1037880df2bbf658bddec223d4590344ffaea4286574b7c,nds2.connection.iterate,,
41,6,PAIR:S230709ac,H1,H1:GDS-CALIB_STRAIN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/H1/GDS-CALIB_STRAIN_AR.npy,c1c2b3edf7ac4114bb0e2098651c91f8f6f1fc5ec5c9878d77ce9dbc33b90b66,nds2.connection.iterate,,
42,6,PAIR:S230709ac,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,5c9beea68fc38983871f151f00427d587bbeb534a7dd8f464fa9bd7a98035997,nds2.connection.iterate,,
43,6,PAIR:S230709ac,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,5c9beea68fc38983871f151f00427d587bbeb534a7dd8f464fa9bd7a98035997,nds2.connection.iterate,,
44,6,PAIR:S230709ac,H1,H1:GDS-GATED_STRAIN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/H1/GDS-GATED_STRAIN_AR.npy,5c9beea68fc38983871f151f00427d587bbeb534a7dd8f464fa9bd7a98035997,nds2.connection.iterate,,
45,6,PAIR:S230709ac,L1,L1:GDS-CALIB_STRAIN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/L1/GDS-CALIB_STRAIN_AR.npy,5e922091eff6ac98ce7823910184fa5830329df0f1495e4b2fe89c3ba71047f4,nds2.connection.iterate,,
46,6,PAIR:S230709ac,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,2766465c9a27e21a0218dcd5dee0e2062abc5c4d98d41e5c6714210f6371d9aa,nds2.connection.iterate,,
47,6,PAIR:S230709ac,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,2766465c9a27e21a0218dcd5dee0e2062abc5c4d98d41e5c6714210f6371d9aa,nds2.connection.iterate,,
48,6,PAIR:S230709ac,L1,L1:GDS-GATED_STRAIN_AR,1372919695,1372919712,1372919695.0949707,1372919711.0949707,SUCCESS,16384,float64,262144,262144,1372919695.0949707,1372919711.0949707,work/strain_payload/PAIR_S230709ac/L1/GDS-GATED_STRAIN_AR.npy,9c928ae87f936c76724f904d2cd7dfcac69eea5fdaa9fe97c0899b502c914c63,nds2.connection.iterate,,
49,7,PAIR:S231221ax,H1,H1:GDS-CALIB_STRAIN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/H1/GDS-CALIB_STRAIN_AR.npy,05559c6264a30f39d5f875145bdf21bf4aa43445ceed31cbdef1aaa36226f28b,nds2.connection.iterate,,
50,7,PAIR:S231221ax,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,2a77676c0c60d1c77127f5f8b233903e357d1fce6f5deeae90731014f440113b,nds2.connection.iterate,,
51,7,PAIR:S231221ax,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,abd0f3475ec931b7d16a2096d6225abbb0afecfeafab38af9a23fa6470582243,nds2.connection.iterate,,
52,7,PAIR:S231221ax,H1,H1:GDS-GATED_STRAIN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/H1/GDS-GATED_STRAIN_AR.npy,2a77676c0c60d1c77127f5f8b233903e357d1fce6f5deeae90731014f440113b,nds2.connection.iterate,,
53,7,PAIR:S231221ax,L1,L1:GDS-CALIB_STRAIN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/L1/GDS-CALIB_STRAIN_AR.npy,5ff7ccbb66496ab6517d62033ba81c7d337d8fe68f39c51860bd7931a7a9c0c6,nds2.connection.iterate,,
54,7,PAIR:S231221ax,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,af27821d90a15e3b7ebb9bd8fbb9fbb8fe6015d60a48beabe0c7e668a0e3d603,nds2.connection.iterate,,
55,7,PAIR:S231221ax,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,1d72964b4f91ac2be2e099716f3a5fd921e3a5b7492af5615cf9f9b3b7d77664,nds2.connection.iterate,,
