request_index,allocation_order,candidate_key,detector,request_start_gps,request_end_gps,channels,status,buffer_batches,error_type,error_message
21,12,GWTC-4.0:S240114f,H1,1389269571,1389269588,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
22,12,GWTC-4.0:S240114f,L1,1389269571,1389269588,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
23,13,GWTC-4.0:S231126ct,L1,1385012717,1385012734,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
24,14,GWTC-4.0:S231007az,H1,1380748511,1380748528,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
25,14,GWTC-4.0:S231007az,L1,1380748511,1380748528,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
26,15,GWTC-4.0:S230817ax,L1,1376294530,1376294547,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
27,16,GWTC-4.0:S231124ch,L1,1384827792,1384827809,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
28,17,GWTC-4.1:S230917bz,H1,1378997680,1378997697,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
29,17,GWTC-4.1:S230917bz,L1,1378997680,1378997697,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
30,18,GWTC-4.1:S231113cp,H1,1383892987,1383893004,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
31,18,GWTC-4.1:S231113cp,L1,1383892987,1383893004,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
32,19,GWTC-4.1:S230530p,H1,1369460217,1369460234,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
33,19,GWTC-4.1:S230530p,L1,1369460217,1369460234,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
34,20,GWTC-4.1:S231206cn,H1,1385899343,1385899360,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
35,20,GWTC-4.1:S231206cn,L1,1385899343,1385899360,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
36,21,PAIR:S230831e,H1,1377482064,1377482081,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
37,21,PAIR:S230831e,L1,1377482064,1377482081,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
38,22,PAIR:S231108u,H1,1383483112,1383483129,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
39,22,PAIR:S231108u,L1,1383483112,1383483129,L1:GDS-CALIB_STRAIN_AR|L1:GDS-CALIB_STRAIN_NOLINES_AR|L1:GDS-CALIB_STRAIN_CLEAN_AR|L1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
40,23,PAIR:S231223bg,H1,1387398389,1387398406,H1:GDS-CALIB_STRAIN_AR|H1:GDS-CALIB_STRAIN_NOLINES_AR|H1:GDS-CALIB_STRAIN_CLEAN_AR|H1:GDS-GATED_STRAIN_AR,SUCCESS,1,,
