filename,size_bytes,upstream_checksum,content_url,extension,classification,content_downloaded,content_read
README.md,9043,md5:981647acc2cea79119d996c5112f67c7,https://zenodo.org/api/records/20378418/files/README.md/content,.md,UNKNOWN,FALSE,FALSE
MG_contours_O4b.py,5882,md5:811146bc543ab5da40253cce2c17f822,https://zenodo.org/api/records/20378418/files/MG_contours_O4b.py/content,.py,SCRIPT,FALSE,FALSE
sky_loc_from_LVK_maps.py,4106,md5:b743d9b38087242fb92455c549abed24,https://zenodo.org/api/records/20378418/files/sky_loc_from_LVK_maps.py/content,.py,SCRIPT,FALSE,FALSE
gladep_gal_data_4table_allevents.json,41579,md5:4f3a535a49a7e27779eb4e43719ff748,https://zenodo.org/api/records/20378418/files/gladep_gal_data_4table_allevents.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
GWTC5_236_IFAR4-Stable_Release-6.json,163638,md5:7469e37a2b34b35a672bc30709c6ee0a,https://zenodo.org/api/records/20378418/files/GWTC5_236_IFAR4-Stable_Release-6.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
data_completeness_plot_O4b.py,13668,md5:86510a78c9f2e9d3dcc533b150448b7a,https://zenodo.org/api/records/20378418/files/data_completeness_plot_O4b.py/content,.py,SCRIPT,FALSE,FALSE
result_path.py,4005,md5:79760b6337333b8afbc81e9be1ae4721,https://zenodo.org/api/records/20378418/files/result_path.py/content,.py,SCRIPT,FALSE,FALSE
paper.style,1854,md5:acd43a06642001cfb5a01dad35ee93ea,https://zenodo.org/api/records/20378418/files/paper.style/content,.style,UNKNOWN,FALSE,FALSE
icarogw_mltp_spectral_transition_spin.json,41845731,md5:5b8e54e57ad2bb67ececc2ee380e4ee4,https://zenodo.org/api/records/20378418/files/icarogw_mltp_spectral_transition_spin.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_mltp_spectral.json,21769341,md5:37026c4f9e43690eb9954d450e939a0e,https://zenodo.org/api/records/20378418/files/icarogw_mltp_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_fullpop_spectral_xi0_wide.json,41524663,md5:38fa3f5544b6aae5ea9b94dfe21fe2c9,https://zenodo.org/api/records/20378418/files/icarogw_fullpop_spectral_xi0_wide.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_fullpop_spectral.json,37371566,md5:19a8f54c381eff035b90def3bd56001f,https://zenodo.org/api/records/20378418/files/icarogw_fullpop_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_mltp_spectral_gaussian_spin.json,32823004,md5:a7c713eb3d0f0cb92a8c01b72856f64c,https://zenodo.org/api/records/20378418/files/icarogw_mltp_spectral_gaussian_spin.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
icarogw_fullpop_spectral_cm_narrow.json,38436165,md5:5a6d4b63a48c383c07d654649700ee68,https://zenodo.org/api/records/20378418/files/icarogw_fullpop_spectral_cm_narrow.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_des_lum.json,37061173,md5:d0c9f11666fcaa47910fb9f063b47008,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_bpl3p_des_lum.json,42479681,md5:78243e956a16f74214ac1cb17e6385ee,https://zenodo.org/api/records/20378418/files/gwcosmo_bpl3p_des_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_des_xi0_wide.json,40194445,md5:b54a09313934d3667a7f5c388cae2ef4,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_xi0_wide.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_bpl3p_glade_lum.json,40885091,md5:02139535f1ec2358ee653ad9bc2eb397,https://zenodo.org/api/records/20378418/files/gwcosmo_bpl3p_glade_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
md5sums.txt,4045,md5:52a8ad46f5e4aa9a4855b8b699d0b3ea,https://zenodo.org/api/records/20378418/files/md5sums.txt/content,.txt,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_des_cm_wide.json,38039169,md5:60dc4694de4f59536944686255e4f56c,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_cm_wide.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_bpl3p_glade_uni.json,40722907,md5:7140ecbd19d3d530d664484f3ab6f333,https://zenodo.org/api/records/20378418/files/gwcosmo_bpl3p_glade_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_bpl3p_des_uni.json,40829492,md5:832f86f349f0ccf60ddc01aea5a0155d,https://zenodo.org/api/records/20378418/files/gwcosmo_bpl3p_des_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_des_uni.json,37549841,md5:dc647d12e731a9362098799f95e36ffe,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_ifar1_fullpop_spectral.json,38162495,md5:9d600ad97f7aefd3b972d04e81623ec6,https://zenodo.org/api/records/20378418/files/gwcosmo_ifar1_fullpop_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
