group,filename,size_bytes,sha256,original_companion_sha256
PRIMARY,gwcosmo_fullpop_spectral.json,36790718,cb1d1e959d485fc1486f6ff24c1a3ef8a2844e4af99fa1e94eb18986855758ad,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,icarogw_fullpop_spectral.json,37371566,eaf3188fdbd4fda1f1713774977eb8475128236e1e98b2006dde9ad0b3eea89e,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_fullpop_des_lum.json,37061173,dc6fd1b4f915e49226a5e42c6bd11e00a7b96f698e0d91b7dd78df393f017bc8,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_fullpop_des_uni.json,37549841,95957f3638b484f9f89da9101f62b14c9728768914a54af865cc709f4f717007,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_fullpop_glade_lum.json,37656342,fce1d0ce46d3363d18f76cfe48aec49c1f0cf9b5d5fb796985dfbe82c12cc0fb,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_fullpop_glade_uni.json,36269228,2e36390b8dd24450671c6556a6de8026b838da64afdef7ab2804ba0eb26b5806,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_bpl3p_spectral.json,40780777,7f319ab438f9501d29f7cdc8f844402b66f70ce5ed0009ef7a62dccf755a3169,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_mltp_spectral.json,21843157,06426dbfb2dd033c941c7bf8ff0931d83849fdb9f46a7200fe9aaba81e79bf10,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_ifar1_fullpop_spectral.json,38162495,a162d124e8082d793d2f35d4803b4b42d35b58d8041d8b7d32796ab3a083ac4d,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
PRIMARY,gwcosmo_ifar1_fullpop_des_lum.json,37740195,352c0e22c396b6ceb72fbe26e90603a39ec6a07b50a2bebd4efaee83fd1cf368,f5ecc497adbcb23d0c29b179af5f5b99d67abdcb32ae262091d511d1ab914846
ROBUSTNESS,icarogw_bpl3p_spectral.json,41757968,f82e7f30b4442189f334b6519aeaf7f390d53b9ab62a4afac8ee53c269ba1507,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,icarogw_mltp_spectral.json,21769341,e4b60b531f2ce62b3732f827c3c8942548c3ff322cb87ba8c1b2b9b62c57b1b1,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_bpl3p_des_lum.json,42479681,d539d26066dc2352bc69248a7b45cf148eca3b708f007153ea66deadd3284a9f,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_bpl3p_des_uni.json,40829492,5e4d15ef203ce4bd973cd7fabd66f24cdd7b85a745fbf691c627e5d7efdd7749,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_bpl3p_glade_lum.json,40885091,8ca2198da0a6e01fa19d4738eec3eeb508e5a7ca2117f89a89d93f14df712e8a,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_bpl3p_glade_uni.json,40722907,232ec97ab88f5d7753e3b64d6c296b7ed6e46a7fd715b80704bee4e7c0b23202,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_mltp_des_lum.json,21771755,6ce2ea1261afe3e72d51762c706c3ef49adc838164feb2b469f88db5b3c46490,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_mltp_des_uni.json,21572148,d3b65fee7f8d22f9d6f546c0cb96a8303a57b2892cd59f9440e1aa676045faec,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_mltp_glade_lum.json,21793408,fd8078885763005dddff7f13664d9241cc6306a7d14b9f49ab8ef56ccf4975ab,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_mltp_glade_uni.json,21895336,a724368c6f79ae52c3398d68cda0e78e656b0aff6e324b5a500594babccc024e,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
ROBUSTNESS,gwcosmo_ifar1_fullpop_des_uni.json,37925154,07e66e22f17dcdeb6b26e3742bdd60af40536bb78720b6f377f79240e17d9545,42ab5135ed77a036f034ef5fb87d3e1c0f3718a59a485622a111000807ce3b07
