asset_id,filename,role,size_bytes,sha256,sidecar_filename,sidecar_size_bytes,sidecar_sha256,required
A01,GWBHXBICA_MASTER_REFERENCE_PACKAGE_v1.0.0_FINAL_PROJECT_CLOSURE.zip,Canonical integrated Project Master containing all eight branch Masters and final XBICA integration evidence,232729672,87247fb2a664c127570008586cf17110f60e9dc4544899291bca70afa8e1d1f2,GWBHXBICA_MASTER_REFERENCE_PACKAGE_v1.0.0_FINAL_PROJECT_CLOSURE.zip.sha256,134,1c824156b133a60ed89d195e56f838ed09f96a59e4b08863d0e575772d1289a3,YES
A02,GWBH_B08_COMPACT_REPRODUCTION_PAYLOADS_v1.0.0.zip,Compressed byte-identical B08 posterior payloads; reconstructs the two original evidence companions exactly,261539386,2bdcfeae243a6eec84a6b87b64faa35ce22fbe38a2a189ebc02b97d7337fe8f9,GWBH_B08_COMPACT_REPRODUCTION_PAYLOADS_v1.0.0.zip.sha256,116,ca4e3ed3b89fedacce8d9646b96c2e7cb4bbaf57bb21fe07de44b7cf82a291b0,YES_FOR_B08_NUMERIC_RECOMPUTATION
