asset_id,release_state,filename,role,size_bytes,sha256,sidecar_filename,sidecar_size_bytes,sidecar_sha256,historical_closure_effect
A03,V1.2_PUBLICATION_LAYER,GWBH_ERIA_U03_ALTTRIAD_COMMON5_INDEPENDENT_RECONSIDERATION_v1.0.0_RESULTS_FOR_REVIEW_REGENERATED_20260814.zip,Complete independently versioned GWTC-5.0 U03 reconsideration and all-22 within-product rank-association archive,2113550,ebd351477ba0954eab3b78950e3451a380f4c9bb5d3ddd80cdfb052200e79427,GWBH_ERIA_U03_ALTTRIAD_COMMON5_INDEPENDENT_RECONSIDERATION_v1.0.0_RESULTS_FOR_REVIEW_REGENERATED_20260814.zip.sha256,176,e84a7e3877b0684918ab1e8ddf45e6ee79899e3bcb734640db037d077cfcf6c6,NONE
A04,V1.2_PUBLICATION_LAYER,GWBH_ERIA_XR01_GWTC41_COMMON5_TRANSPORT_v1.0.0_RESULTS_FOR_REVIEW.zip,Complete independently versioned GWTC-4.1 all-44 disjoint-cohort rank-association recurrence archive,2456341,7895c6405d7083d736f9b3157af53420ddcab9fcaa364120d91e44cb7e8d67ec,GWBH_ERIA_XR01_GWTC41_COMMON5_TRANSPORT_v1.0.0_RESULTS_FOR_REVIEW.zip.sha256,136,3aaf62cf9db3ca4cc833cca2d66c388e5ee918140085d13055e4ac914bd98bf0,NONE
