event,stratum,summary_median_max_pair_s90,posterior_rows,median_posterior_model_norm_W1,median_balanced_observed_W1,maximum_posterior_model_norm_W1,CLEAR_ABOVE_NULL,ABOVE_NULL,NOT_RESOLVED_FROM_NULL,predictor_rank,response_rank,rank_difference,common_cell_median_norm_W1
GW230806_204041,Q1_LOW,0.027842305359421,24,0.0241205504664399,0.027386228320523,0.1403786993185014,6,4,14,1.0,1.0,0.0,0.0241205504664399
GW230824_033047,Q1_LOW,0.0296124943424897,24,0.0320780259083462,0.0336698146208625,0.1298909361910659,7,6,11,2.0,3.0,1.0,0.0320780259083462
GW230704_021211,Q2_LOWMID,0.040032941053011,24,0.0307458296706805,0.0348305624998219,0.0791548023304708,4,7,13,3.0,2.0,-1.0,0.0307458296706805
GW230920_071124,Q2_LOWMID,0.063795844869374,24,0.0466018179182317,0.0464173123142133,0.0958177529192174,12,6,6,4.0,4.0,0.0,0.04660181791823165
GW230707_124047,Q3_HIGHMID,0.0725545659149325,24,0.0692948751120427,0.0699163515878779,0.2105169229985738,15,2,7,5.0,5.0,0.0,0.0692948751120427
GW231008_142521,Q3_HIGHMID,0.0725818774698838,24,0.0693443843681366,0.0677272586510181,0.1565148036360714,15,4,5,6.0,6.0,0.0,0.0693443843681366
GW230805_034249,Q4_HIGH,0.1307566697447743,24,0.0974332273778903,0.0987010229249909,0.2471122486000663,18,4,2,7.0,8.0,1.0,0.0974332273778903
GW230928_215827,Q4_HIGH,0.1986234525242127,24,0.0967734811380001,0.0983918674496797,0.3091676674351014,19,4,1,8.0,7.0,-1.0,0.0967734811380001
