filename,n,median,q16,q84,q05,q95,q25,q75,width68,width90,iqr
H0_dark_combined_gw170817.json,3500,71.0170052236972,63.91534731459015,79.95019681360046,60.04477743597708,88.18847966401394,66.06324749467595,76.61281172498708,16.034849499010306,28.143702228036858,10.549564230311134
H0_spectral_combined_gw170817.json,3500,72.24541881800602,64.47094707295682,82.36360676459354,60.40075385532093,91.33743154834497,66.77790407610023,78.75183110642188,17.892659691636723,30.936677693024038,11.973927030321647
gwcosmo_bpl3p_spectral.json,6996,72.73174414733847,59.76930473716237,87.08786102514726,51.68065582229585,97.28022990313042,63.96560473024619,82.34086359326398,27.31855628798489,45.59957408083457,18.375258863017784
gwcosmo_fullpop_des_lum.json,6929,67.58988141270433,54.92635826034237,81.06622942462886,45.75239980012081,91.56475808550067,59.09353285592465,76.20804884631576,26.13987116428649,45.81235828537986,17.114515990391112
gwcosmo_fullpop_des_uni.json,7225,69.8320065161348,57.64405539260368,83.42194433163641,49.56803949485597,94.16708342450644,61.57763699409125,78.85622895533689,25.777888939032728,44.59904392965048,17.27859196124564
gwcosmo_fullpop_glade_lum.json,7350,71.83300176229051,58.75930669453768,85.78026187632827,51.24302915819883,96.10387002004863,62.49336356442077,80.8968691995733,27.02095518179059,44.8608408618498,18.403505635152534
gwcosmo_fullpop_glade_uni.json,7152,69.46494663729095,56.23743630686238,83.67161787754283,48.39895773699737,94.46241406053448,60.30458403198113,78.61787524403034,27.43418157068045,46.06345632353712,18.313291212049215
gwcosmo_fullpop_spectral.json,6837,68.67189586358829,55.67341165671283,83.21550131281369,47.55355103984028,94.37097752905905,59.6281182745095,78.23942995924341,27.542089656100856,46.81742648921877,18.611311684733913
gwcosmo_ifar1_fullpop_des_lum.json,7007,59.62214535730647,47.717174045777305,70.86116929557346,40.353802274553146,79.29193002820242,51.7057089544236,67.21027244425485,23.143995249796156,38.93812775364927,15.504563489831256
gwcosmo_ifar1_fullpop_spectral.json,7304,59.60565664557703,48.283297049336625,71.40369508367756,41.34105831798248,79.63471011719982,51.909398493715194,67.44777492739048,23.120398034340937,38.293651799217336,15.538376433675289
gwcosmo_mltp_spectral.json,6998,68.45739777024377,51.37650854876222,88.76775324263514,42.379766572741424,104.83793166168792,56.622815599143706,81.75534236260509,37.39124469387292,62.458165088946494,25.132526763461385
icarogw_fullpop_spectral.json,7247,71.56745957566302,57.94919832078986,86.94472416767043,49.87801300613171,98.18698328090119,62.16218832212036,81.81582074122653,28.995525846880568,48.30897027476948,19.653632419106174
