axis,context,pair_id,status,delta_median,width68_ratio,normalized_w1,central68_overlap
PIPELINE,FULLPOP,C01,PASS,2.8955637120747326,1.0527714566660618,0.1621104503074619,0.9173705883433968
PIPELINE,BPL3P,R01,PASS,1.8477921390078933,1.0163215746372405,0.0986538590817223,0.9372618559884525
PIPELINE,MLTP,R02,PASS,5.435525326380244,0.9985821329904704,0.21183996891641937,0.8482563085395741
SPECTRAL_TO_DES,FULLPOP,C02,PASS,-1.0820144508839604,0.949088158911582,0.07933426606681653,0.9714209227859119
SPECTRAL_TO_DES,BPL3P,R03,PASS,-2.1492385548017836,0.8709360521243306,0.1332197526184908,0.9813023614019607
SPECTRAL_TO_DES,MLTP,R08,PASS,1.1895879121406523,0.9424657981363511,0.052876685892987475,0.9972747983905578
DES_TO_GLADE,FULLPOP,C03,PASS,4.243120349586178,1.033706517219101,0.24528009999761163,0.8533677381152489
DES_TO_GLADE,BPL3P,R05,PASS,3.5570783060526168,1.0324115556228122,0.21342708969971588,0.8796459008199191
DES_TO_GLADE,MLTP,R10,PASS,1.7139976879537073,1.0741924069558377,0.07553342379955497,0.9830512238767405
DES_WEIGHTING,FULLPOP,C04,PASS,2.2421251034304674,0.9861521036971169,0.1462934934609896,0.9086149019968605
DES_WEIGHTING,BPL3P,R06,PASS,1.7029182746550333,1.016029465528792,0.11699439901204724,0.9312871516278288
DES_WEIGHTING,MLTP,R11,PASS,0.9900332650496608,1.1099510227003384,0.06322913987751955,1.0
GLADE_WEIGHTING,FULLPOP,C05,PASS,-2.3680551249995574,1.0152928120456797,0.12754421170550276,0.9219626403064222
GLADE_WEIGHTING,BPL3P,R07,PASS,-1.3594360662938811,1.08169383659663,0.07555299548042584,1.0
GLADE_WEIGHTING,MLTP,R12,PASS,-3.297162345883251,0.9725325579469074,0.11216846810831331,0.9429906331201626
POP_FULLPOP_TO_BPL3P,SPECTRAL,C06,PASS,4.059848283750185,0.9918839357903821,0.21730054498421658,0.8582516707137742
POP_FULLPOP_TO_BPL3P,DES_LUM,R13,PASS,2.9926241798323616,0.9102078359016774,0.1931498037387174,0.9138003699740138
POP_FULLPOP_TO_BPL3P,GLADE_LUM,R14,PASS,2.3065821362988004,0.9090675855767547,0.1348012552649041,0.9604459548829547
IFAR_FULLPOP,SPECTRAL,C08,PASS,-9.066239218011262,0.8394569302122481,0.558195633871285,0.6803638675943381
IFAR_FULLPOP,DES_LUM,C09,PASS,-7.967736055397857,0.8853905631109827,0.5174424538039113,0.6885073585284045
IFAR_FULLPOP,DES_UNI,R17,PASS,-8.515215724169778,0.8959241654470934,0.5561500941520315,0.6526218462273855
