endpoint_id,pair_id,event_id,role,dat_member,dat_size_bytes,config_member,config_size_bytes,header_token_count,parameter_token,parameter_column_index,weight_mode,weight_column_index,support_min,support_max,kerr_modes,dat_header_prefix_sha256,config_sha256,member_gate,header_gate,config_gate,schema_state,unresolved_reason,values_interpreted
PAIR00225:BASE,PAIR00225,GW230824_033047,BASE,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_np_10M/pyRing_GW230824_033047_Kerr_220_np_10M.dat,14048628,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_np_10M/config_GW230824_033047_Kerr_220_np_10M.ini,1097,7,af,2,IMPLICIT_UNIT,,,,,524c5419d7ce39e975eee19b39bed65fcdd60d8d855e45832a76d4145c03e8b7,92b93dd3181244ad162d8b2428a4d4d6ba1535f77be116d5960db5eb36eb83c7,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00225:VARIANT,PAIR00225,GW230824_033047,VARIANT,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_320_np_10M/pyRing_GW230824_033047_Kerr_220_320_np_10M.dat,16327941,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_320_np_10M/config_GW230824_033047_Kerr_220_320_np_10M.ini,1108,9,af,2,IMPLICIT_UNIT,,,,,4c36708517e634b628e919b3018bc9bf633d670045c3ec38568673ec6f346959,16efefe07903db96ca8d8a68b530c11cfb2939d525c9fbd3ddd46e05cc8db647,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00270:BASE,PAIR00270,GW230914_111401,BASE,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_np_10M/pyRing_GW230914_111401_Kerr_220_np_10M.dat,12772573,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_np_10M/config_GW230914_111401_Kerr_220_np_10M.ini,1094,7,af,2,IMPLICIT_UNIT,,,,,05f169a94c2d8c8c82ebefa980d8fd81d7905bc3f685d5097f631ca0aa39d8b9,b2979d2d55b86ab8735be879e013b616e5e5a8e4fd5cc5df5eb4f90a2491f9bb,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00270:VARIANT,PAIR00270,GW230914_111401,VARIANT,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_200_np_10M/pyRing_GW230914_111401_Kerr_220_200_np_10M.dat,16931990,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_200_np_10M/config_GW230914_111401_Kerr_220_200_np_10M.ini,1105,9,af,2,IMPLICIT_UNIT,,,,,1dba10f0998edfb817ffa3d60f7c8837e910c5fbc76e9a8aee8289430300419d,046bc70882885a4429186efcaec9705838b17ac42abdb3f2620df82f60d5c94d,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00315:BASE,PAIR00315,GW230922_020344,BASE,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_np_10M/pyRing_GW230922_020344_Kerr_220_np_10M.dat,12285877,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_np_10M/config_GW230922_020344_Kerr_220_np_10M.ini,1093,7,af,2,IMPLICIT_UNIT,,,,,35d07ebb7adf61f8ad5b7968cb374d6ab0bdbb85464d6ea3a5f6f027e4eb550f,e2a19bbb83991c847606afa0d8726869519dd2d15db2467e62ba74c8999a9797,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00315:VARIANT,PAIR00315,GW230922_020344,VARIANT,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_210_np_10M/pyRing_GW230922_020344_Kerr_220_210_np_10M.dat,15030216,pyring/samples/GW230922_020344/GW230922_020344_Kerr_220_210_np_10M/config_GW230922_020344_Kerr_220_210_np_10M.ini,1104,9,af,2,IMPLICIT_UNIT,,,,,08e2f1b2274c9ef5032dbf2ec09eb41d4dd9f7e3da3773d020e5e117a99e90b6,254503324e5ba7181dcafece317465bd00eb0fb9955c7fd8c7d140ac0c1cf14c,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00360:BASE,PAIR00360,GW230922_040658,BASE,pyring/samples/GW230922_040658/GW230922_040658_Kerr_220_np_10M/pyRing_GW230922_040658_Kerr_220_np_10M.dat,9893919,pyring/samples/GW230922_040658/GW230922_040658_Kerr_220_np_10M/config_GW230922_040658_Kerr_220_np_10M.ini,1094,7,af,2,IMPLICIT_UNIT,,,,,7a07d36362b04ba8e9f6f4b33114a3571c68dda2fc39fdb8a3d74d27a8a498e2,ccd52e349f0aa4aa005790b917e96f847e1c4ff1d8e3279197359879baf1e6ed,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00360:VARIANT,PAIR00360,GW230922_040658,VARIANT,pyring/samples/GW230922_040658/GW230922_040658_Kerr_221_np_10M/pyRing_GW230922_040658_Kerr_221_np_10M.dat,15866218,pyring/samples/GW230922_040658/GW230922_040658_Kerr_221_np_10M/config_GW230922_040658_Kerr_221_np_10M.ini,1105,9,af,2,IMPLICIT_UNIT,,,,,11cdf498a0af61670487fa7d57cb7d6d23d67e0332d77306f19ec521c20be070,e247209e94f4a3a8d31eeca66bc2b25d483c38fa0741ee61ff02b5066576ccc3,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00405:BASE,PAIR00405,GW230924_124453,BASE,pyring/samples/GW230924_124453/GW230924_124453_Kerr_220_np_10M/pyRing_GW230924_124453_Kerr_220_np_10M.dat,12798666,pyring/samples/GW230924_124453/GW230924_124453_Kerr_220_np_10M/config_GW230924_124453_Kerr_220_np_10M.ini,1093,7,af,2,IMPLICIT_UNIT,,,,,4e7034730128262678724a1dfd5c7a00ed79c3ebcc0322b474f038620bdad376,134078dfe814cdb113b99e2398e1b736a290d11805a511326f528087e1ffce3a,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00405:VARIANT,PAIR00405,GW230924_124453,VARIANT,pyring/samples/GW230924_124453/GW230924_124453_Kerr_221_np_10M/pyRing_GW230924_124453_Kerr_221_np_10M.dat,15559800,pyring/samples/GW230924_124453/GW230924_124453_Kerr_221_np_10M/config_GW230924_124453_Kerr_221_np_10M.ini,1104,9,af,2,IMPLICIT_UNIT,,,,,02b55960a2b5b97b23aa43387513167cfbe8a010ee3dceb42a812d9005dadbea,281fc0f74f0df3d2d5c07a3f6a6624812c55753371c71e62dea0f37739fea60d,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
