endpoint_id,pair_id,event_id,role,member_sha256,sample_count,weight_mode,minimum,q05,median,mean,q95,maximum,width90,total_weight,numeric_state,unresolved_reason
PAIR00450:VARIANT,PAIR00450,GW230927_043729,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00495:BASE,PAIR00495,GW230927_153832,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00495:VARIANT,PAIR00495,GW230927_153832,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00540:BASE,PAIR00540,GW230928_215827,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00540:VARIANT,PAIR00540,GW230928_215827,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00583:BASE,PAIR00583,GW231001_140220,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00583:VARIANT,PAIR00583,GW231001_140220,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00621:BASE,PAIR00621,GW231028_153006,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00621:VARIANT,PAIR00621,GW231028_153006,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00666:BASE,PAIR00666,GW231102_071736,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00666:VARIANT,PAIR00666,GW231102_071736,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00711:BASE,PAIR00711,GW231108_125142,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00711:VARIANT,PAIR00711,GW231108_125142,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00754:BASE,PAIR00754,GW231206_233134,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00754:VARIANT,PAIR00754,GW231206_233134,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00792:BASE,PAIR00792,GW231206_233901,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00792:VARIANT,PAIR00792,GW231206_233901,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00837:BASE,PAIR00837,GW231213_111417,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00837:VARIANT,PAIR00837,GW231213_111417,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00880:BASE,PAIR00880,GW231223_032836,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00880:VARIANT,PAIR00880,GW231223_032836,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00918:BASE,PAIR00918,GW231226_101520,BASE,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
PAIR00918:VARIANT,PAIR00918,GW231226_101520,VARIANT,,,,,,,,,,,,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH
