event,zenodo_record,official_filename,expected_size_bytes,observed_size_bytes,size_pass,expected_md5,observed_md5,md5_pass,sha256,identity_pass,xphm_spintaylor_rows_shape_only,xpnr_rows_shape_only,nrsur7dq4_rows_shape_only,all_required_models_schema_pass,event_gate_status,failure_reasons,posterior_values_accessed,download_deleted_after_inspection
GW240414_054515,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240414_054515-combined_PEDataRelease.hdf5,235225876,235225876,True,8e1ff0d50c3cbcd39a5921be0e863815,8e1ff0d50c3cbcd39a5921be0e863815,True,dfb4eb1a3e3b50da1a19b5ee89349e7848e788ef5ce1fa9036ff832c0f93b35a,True,14167,13285,15153,True,PASS,,False,True
GW240420_175625,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240420_175625-combined_PEDataRelease.hdf5,106658828,106658828,True,7be786533108704196e1ee7026dc2609,7be786533108704196e1ee7026dc2609,True,7cbd8f605f7eaeb40006f4e63acfd387854c49799c46719290aad6dd9dbfcdd7,True,11908,14107,12184,True,PASS,,False,True
GW240426_031451,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240426_031451-combined_PEDataRelease.hdf5,166318756,166318756,True,48b990dd71967e4a4fee450ad3abfa8c,48b990dd71967e4a4fee450ad3abfa8c,True,052138e614aa3f9f2721b2428733a1685f7d14a759bcc0491775547cbde97007,True,14745,14249,14213,True,PASS,,False,True
GW240505_133552,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240505_133552-combined_PEDataRelease.hdf5,202688308,202688308,True,0330d1aa57f9bde9dbea622da5b8e0ab,0330d1aa57f9bde9dbea622da5b8e0ab,True,49d189b30070419498c46b282e23f5d55841184d3f999577590c7c4c4ad82197,True,13399,15213,13556,True,PASS,,False,True
GW240515_005301,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240515_005301-combined_PEDataRelease.hdf5,247660180,247660180,True,61b15abe35ad71a0e2b1d30341401c68,61b15abe35ad71a0e2b1d30341401c68,True,53fd199f547e19a4870b027c0ea338d2aa8c61056e53280feffc8ab79b78e823,True,16489,15397,12153,True,PASS,,False,True
GW240618_071627,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240618_071627-combined_PEDataRelease.hdf5,148338260,148338260,True,2ef71b169a6d2481942816360366c734,2ef71b169a6d2481942816360366c734,True,63478af2a1f6313e223514bed7d9924113abfe76edb075a6acdf16544c607953,True,15339,14913,14863,True,PASS,,False,True
GW240621_214041,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240621_214041-combined_PEDataRelease.hdf5,206180996,206180996,True,a1d76263f4994e9ebfd5d9b23ca97613,a1d76263f4994e9ebfd5d9b23ca97613,True,7ceb8d1d7e9a50d373d4d638b894b5ae9207ec180d6fdb83df6371d6b2348241,True,14901,15454,16177,True,PASS,,False,True
GW240703_191355,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240703_191355-combined_PEDataRelease.hdf5,213705244,213705244,True,b3c2c89e70d7be9975a775a86920d3f8,b3c2c89e70d7be9975a775a86920d3f8,True,5f6c052e64c25c1b50ead17c3ec498be29887a1e0dad2f1b75bb818a05c75540,True,17705,18079,15434,True,PASS,,False,True
GW240716_034900,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240716_034900-combined_PEDataRelease.hdf5,186770164,186770164,True,ba62bbb2da44a6abfd0219176d513495,ba62bbb2da44a6abfd0219176d513495,True,b2c96eddf991890098dd2196f7572ae7a60bc39ee3fe0ef6e4e498493c0b40c3,True,18295,19085,20091,True,PASS,,False,True
GW240924_000316,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW240924_000316-combined_PEDataRelease.hdf5,222234420,222234420,True,8fd87df7db991dd31fcac218eef03afe,8fd87df7db991dd31fcac218eef03afe,True,8c2c05b4fdd3d8c533bd11ac9f4e49c5416d699af0ec2ca474925d7df31a0e4e,True,18026,17281,13350,True,PASS,,False,True
