event,repetition,event_median_balanced_norm_W1
GW230601_224134,0,0.026702016708891427
GW230601_224134,1,0.033478914391609146
GW230601_224134,2,0.029493808903055307
GW230601_224134,3,0.03250638495154566
GW230601_224134,4,0.03299422163678357
GW230601_224134,5,0.023984102381734984
GW230601_224134,6,0.03167634719650296
GW230601_224134,7,0.02510106641552424
GW230601_224134,8,0.029206312649848385
GW230601_224134,9,0.031793324415762436
GW230601_224134,10,0.02568691413767757
GW230601_224134,11,0.026607449418752645
GW230601_224134,12,0.03423211677063615
GW230601_224134,13,0.025684568046363616
GW230601_224134,14,0.02986276895369205
GW230601_224134,15,0.03018285683177797
GW230601_224134,16,0.030163104803616166
GW230601_224134,17,0.027536132954185395
GW230601_224134,18,0.0261696049092128
GW230601_224134,19,0.03082553787496384
GW230601_224134,20,0.027430094122885718
GW230601_224134,21,0.0331237551789397
GW230601_224134,22,0.030336183376702894
GW230601_224134,23,0.03213275625509031
GW230601_224134,24,0.02643985270248627
GW230601_224134,25,0.020540202793820583
GW230601_224134,26,0.032198920991668344
GW230601_224134,27,0.02952450257983607
GW230601_224134,28,0.028796673654390332
GW230601_224134,29,0.026948617415041575
GW230601_224134,30,0.03241773718505892
GW230601_224134,31,0.02382624784116379
GW230601_224134,32,0.031133024604003433
GW230601_224134,33,0.03497572122253259
GW230601_224134,34,0.03265045732387002
GW230601_224134,35,0.032439809667625774
GW230601_224134,36,0.03265069944235666
GW230601_224134,37,0.03001620240576942
GW230601_224134,38,0.023254276581401345
GW230601_224134,39,0.01952657866448703
GW230601_224134,40,0.028379407299687843
GW230601_224134,41,0.024331398060925217
GW230601_224134,42,0.02458532394755216
GW230601_224134,43,0.02885508172028241
GW230601_224134,44,0.03018269785427493
GW230601_224134,45,0.027998628741884576
GW230601_224134,46,0.026540339309006178
GW230601_224134,47,0.02925319900582197
GW230601_224134,48,0.02924712215418613
GW230601_224134,49,0.026957463457681224
GW230601_224134,50,0.030210779314942402
GW230601_224134,51,0.02699055587450412
GW230601_224134,52,0.032035058412214594
GW230601_224134,53,0.037055606603968574
GW230601_224134,54,0.02832981561097451
GW230601_224134,55,0.026014810444293043
GW230601_224134,56,0.029642711074162137
GW230601_224134,57,0.030589322034351822
GW230601_224134,58,0.024020795582647702
GW230601_224134,59,0.027538982658689145
GW230601_224134,60,0.02773347042841878
GW230601_224134,61,0.03218371075598861
GW230601_224134,62,0.03290384041989224
GW230601_224134,63,0.032990425927198405
GW230601_224134,64,0.03196873670045622
GW230601_224134,65,0.02932083520308173
GW230601_224134,66,0.02510672832496604
GW230601_224134,67,0.024118023119907267
GW230601_224134,68,0.03049540014088191
GW230601_224134,69,0.02651266155917505
GW230601_224134,70,0.03361196418784577
GW230601_224134,71,0.03123756361055965
GW230601_224134,72,0.02540411998656517
GW230601_224134,73,0.032893041147287645
GW230601_224134,74,0.029709813744129017
GW230601_224134,75,0.02564909866760934
GW230601_224134,76,0.028095676094149688
GW230601_224134,77,0.028763055222110076
GW230601_224134,78,0.03349727718530608
GW230601_224134,79,0.030590563488945535
GW230606_004305,0,0.045171007846727354
GW230606_004305,1,0.05899529107573663
GW230606_004305,2,0.03829049205308022
GW230606_004305,3,0.042748572736578686
GW230606_004305,4,0.04620349051687041
GW230606_004305,5,0.05194034873379161
GW230606_004305,6,0.036940838400100304
GW230606_004305,7,0.04547820599314217
GW230606_004305,8,0.05074120568450712
GW230606_004305,9,0.02839741045723943
GW230606_004305,10,0.04521566647910838
GW230606_004305,11,0.04424589992722991
GW230606_004305,12,0.05230620679146514
GW230606_004305,13,0.04074250482620937
GW230606_004305,14,0.03632410564838945
GW230606_004305,15,0.05012104913508131
GW230606_004305,16,0.04550006890184988
GW230606_004305,17,0.031830839550820084
GW230606_004305,18,0.04901699420158543
GW230606_004305,19,0.04510046766789093
GW230606_004305,20,0.039104864906893466
GW230606_004305,21,0.03522374593567019
GW230606_004305,22,0.03938533066981961
GW230606_004305,23,0.03958476230345124
GW230606_004305,24,0.039502898680151076
GW230606_004305,25,0.033996642736021015
GW230606_004305,26,0.03988384837144693
GW230606_004305,27,0.04540040475645993
GW230606_004305,28,0.04817160293528836
GW230606_004305,29,0.04900134407360325
GW230606_004305,30,0.039369814194723345
GW230606_004305,31,0.03477125219706952
GW230606_004305,32,0.04483002187641094
GW230606_004305,33,0.041172063195613576
GW230606_004305,34,0.03705462931803018
GW230606_004305,35,0.04224081994069355
GW230606_004305,36,0.053284100545633234
GW230606_004305,37,0.03959618601499123
GW230606_004305,38,0.04330794881811311
GW230606_004305,39,0.040630699363764684
GW230606_004305,40,0.050968183807126616
GW230606_004305,41,0.038765490248020264
GW230606_004305,42,0.03863484812486905
GW230606_004305,43,0.05122442986535101
GW230606_004305,44,0.044874637577440264
GW230606_004305,45,0.04477865021667038
GW230606_004305,46,0.04085663987493295
GW230606_004305,47,0.04728519222289646
GW230606_004305,48,0.03699368065985512
GW230606_004305,49,0.04349774891323966
GW230606_004305,50,0.04054407777238127
GW230606_004305,51,0.04604537203073493
GW230606_004305,52,0.04485257806272032
GW230606_004305,53,0.03926519391941393
GW230606_004305,54,0.04867946149622868
GW230606_004305,55,0.04096627468874803
GW230606_004305,56,0.040820448254628924
GW230606_004305,57,0.04400926266820239
GW230606_004305,58,0.04592459727845701
GW230606_004305,59,0.03929211580889265
GW230606_004305,60,0.04360083721617942
GW230606_004305,61,0.0406086588675864
GW230606_004305,62,0.03387976048733676
GW230606_004305,63,0.040591299382931254
GW230606_004305,64,0.039663792626652525
GW230606_004305,65,0.04578017933679792
GW230606_004305,66,0.04528503025394741
GW230606_004305,67,0.04903476266727748
GW230606_004305,68,0.04696304643933051
GW230606_004305,69,0.04201039746545294
GW230606_004305,70,0.05005985793588724
GW230606_004305,71,0.04160378415277377
GW230606_004305,72,0.03534884971876272
GW230606_004305,73,0.04962524296355788
GW230606_004305,74,0.03267895644390635
GW230606_004305,75,0.04229211105973613
GW230606_004305,76,0.05046755818925006
GW230606_004305,77,0.05315448126929391
GW230606_004305,78,0.03989516203666153
GW230606_004305,79,0.036553645931082186
GW230608_205047,0,0.038775305669403536
GW230608_205047,1,0.03297371785089643
GW230608_205047,2,0.03451204680754409
GW230608_205047,3,0.02655647854251626
GW230608_205047,4,0.03859925390954126
GW230608_205047,5,0.028808904311896394
GW230608_205047,6,0.025657790949700728
GW230608_205047,7,0.03217637231016202
GW230608_205047,8,0.023295089619388865
GW230608_205047,9,0.029686343874245468
GW230608_205047,10,0.030715019784441244
GW230608_205047,11,0.02424549947184056
GW230608_205047,12,0.034547448710396514
GW230608_205047,13,0.03658572164440275
GW230608_205047,14,0.03382717935077855
GW230608_205047,15,0.0280768320550196
GW230608_205047,16,0.02724645032180892
GW230608_205047,17,0.02400152831383535
GW230608_205047,18,0.028712053737262832
GW230608_205047,19,0.03621512215937234
GW230608_205047,20,0.04257272287136675
GW230608_205047,21,0.023806682099062376
GW230608_205047,22,0.038760239288329966
GW230608_205047,23,0.030898303962494635
GW230608_205047,24,0.0310743608560105
GW230608_205047,25,0.034091312287186044
GW230608_205047,26,0.03053093361014614
GW230608_205047,27,0.035673015052988644
GW230608_205047,28,0.033757812318604793
GW230608_205047,29,0.02975428700916857
GW230608_205047,30,0.023814648859710335
GW230608_205047,31,0.02999150119082273
GW230608_205047,32,0.028611768666783534
GW230608_205047,33,0.03259943824012947
GW230608_205047,34,0.03460059200959893
GW230608_205047,35,0.029893058289868706
GW230608_205047,36,0.024513770415072536
GW230608_205047,37,0.039709277055281156
GW230608_205047,38,0.025973301623958236
GW230608_205047,39,0.03266049022767798
GW230608_205047,40,0.030593511623906968
GW230608_205047,41,0.033309212441457584
GW230608_205047,42,0.02550647191901205
GW230608_205047,43,0.025676271769448582
