removed_event,spearman_rho
GW230601_224134,0.9482029598308668
GW230606_004305,0.946239806704923
GW230608_205047,0.9469948655995167
GW230609_064958,0.9486559951676231
GW230628_231200,0.9438236182422229
GW230630_125806,0.946239806704923
GW230702_185453,0.9463908184838418
GW230704_021211,0.9485049833887044
GW230707_124047,0.9441256418000604
GW230708_053705,0.9447296889157354
GW230708_230935,0.9447296889157354
GW230709_122727,0.946843853820598
GW230726_002940,0.9485049833887044
GW230805_034249,0.946239806704923
GW230806_204041,0.952431289640592
GW230811_032116,0.9497130776200544
GW230814_061920,0.9460887949260042
GW230814_230901,0.9479009362730293
GW230824_033047,0.9482029598308668
GW230825_041334,0.9438236182422229
GW230914_111401,0.9448807006946541
GW230920_071124,0.9441256418000604
GW230922_020344,0.9438236182422229
GW230922_040658,0.9447296889157354
GW230924_124453,0.9497130776200544
GW230927_043729,0.9454847478103292
GW230928_215827,0.946239806704923
GW230930_110730,0.9457867713681667
GW231005_091549,0.9453337360314105
GW231008_142521,0.9448807006946541
GW231028_153006,0.9430685593476291
GW231029_111508,0.9459377831470854
GW231102_071736,0.9447296889157354
GW231118_071402,0.9459377831470854
GW231119_075248,0.9469948655995167
GW231123_135430,0.9430685593476291
GW231127_165300,0.9557535487768046
GW231129_081745,0.955451525218967
GW231206_233134,0.9459377831470854
GW231206_233901,0.9430685593476291
GW231213_111417,0.9537903956508608
GW231223_032836,0.9453337360314105
GW231226_101520,0.9460887949260042
GW240104_164932,0.9438236182422229
