event,parameter,model_a,model_b,corrected_S90
GW230601_224134,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.025943486472287884
GW230601_224134,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.01126516962545962
GW230601_224134,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.014742590428759422
GW230601_224134,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.028531434825478225
GW230601_224134,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0074734900011342855
GW230601_224134,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.021305157203969766
GW230601_224134,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.023516751395742917
GW230601_224134,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.02073446678730763
GW230601_224134,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.002538519033329837
GW230601_224134,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.03880643317167598
GW230601_224134,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.039597990042032724
GW230601_224134,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.0010237311200386207
GW230601_224134,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.011782459188066618
GW230601_224134,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.019018537153699427
GW230601_224134,final_spin,SEOBNRv5PHM,NRSur7dq4,0.03197601986031013
GW230606_004305,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.014841957679881269
GW230606_004305,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03552257142228932
GW230606_004305,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.020941418027091704
GW230606_004305,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.010153058217763697
GW230606_004305,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03948357775435285
GW230606_004305,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.028240624729998134
GW230606_004305,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.012530977324524536
GW230606_004305,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.021452646417628438
GW230606_004305,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.008957115935949212
GW230606_004305,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.027773088389857675
GW230606_004305,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.016318978525970952
GW230606_004305,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.011366690376453383
GW230606_004305,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.035416090475705014
GW230606_004305,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.034078280720599825
GW230606_004305,final_spin,SEOBNRv5PHM,NRSur7dq4,0.002197982622277713
GW230608_205047,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.0033491842696284383
GW230608_205047,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.007269684096360484
GW230608_205047,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.004056650718304025
GW230608_205047,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.04949249043900367
GW230608_205047,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.04947942716034453
GW230608_205047,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.0006131660996203251
GW230608_205047,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.007557564567062573
GW230608_205047,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0108267345966115
GW230608_205047,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.0033805183745837866
GW230608_205047,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.008491720817484198
GW230608_205047,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.011881841418168284
GW230608_205047,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.020364089200639035
GW230608_205047,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.0609343583846017
GW230608_205047,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.08849907460747426
GW230608_205047,final_spin,SEOBNRv5PHM,NRSur7dq4,0.026726883963157397
GW230609_064958,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.004994666613265916
GW230609_064958,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.010080514474848288
GW230609_064958,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.005146980493885692
GW230609_064958,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.08025205900631263
GW230609_064958,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05938108542977621
GW230609_064958,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.022020957565638672
GW230609_064958,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.00586498619201165
GW230609_064958,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0011602016609245519
GW230609_064958,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.00467862607214626
GW230609_064958,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.0138445264387238
GW230609_064958,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.011413964506208307
GW230609_064958,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.025219401294831235
GW230609_064958,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.062102649096586866
GW230609_064958,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06870437859497837
GW230609_064958,final_spin,SEOBNRv5PHM,NRSur7dq4,0.005730625367350587
GW230628_231200,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.0544868119205374
GW230628_231200,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06755811443524265
GW230628_231200,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.12163559143301682
GW230628_231200,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.1360036487635397
GW230628_231200,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.07835670551485352
GW230628_231200,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.0620860934145157
GW230628_231200,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.017812653843839395
GW230628_231200,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.114736804064802
GW230628_231200,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.13448269188460898
GW230628_231200,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.058139167341491715
GW230628_231200,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.04554575843035543
GW230628_231200,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.10230480559747276
GW230628_231200,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.17124527675692988
GW230628_231200,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.19219668311925386
GW230628_231200,final_spin,SEOBNRv5PHM,NRSur7dq4,0.010424567035337014
GW230630_125806,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.09012914599489338
GW230630_125806,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.00019435133168650776
GW230630_125806,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.0920886346017022
GW230630_125806,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.08347658804591755
GW230630_125806,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.11120716037625336
GW230630_125806,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.026473464046736814
GW230630_125806,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.09940034693485118
GW230630_125806,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.004310880390355782
GW230630_125806,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.10412521696554554
GW230630_125806,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.07830616690680062
GW230630_125806,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0392755154835901
GW230630_125806,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.11970102183727241
GW230630_125806,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.08575503274366389
GW230630_125806,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.1942950053375519
GW230630_125806,final_spin,SEOBNRv5PHM,NRSur7dq4,0.11068171418028956
GW230702_185453,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.11074672820889356
GW230702_185453,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03645826590436418
GW230702_185453,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.14878207684492697
GW230702_185453,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.0941556453703194
GW230702_185453,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.008557484765133405
GW230702_185453,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.08803536031607628
GW230702_185453,luminosity_distance,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.07766887736001278
GW230702_185453,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05877206162344434
GW230702_185453,luminosity_distance,SEOBNRv5PHM,NRSur7dq4,0.13615720447419027
GW230702_185453,final_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.08884388615305511
GW230702_185453,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.026650952845409664
GW230702_185453,final_mass_source,SEOBNRv5PHM,NRSur7dq4,0.06224155692918674
GW230702_185453,final_spin,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.1025401540897627
GW230702_185453,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.002513058623702561
GW230702_185453,final_spin,SEOBNRv5PHM,NRSur7dq4,0.10526539502582338
GW230704_021211,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.03365774563282887
GW230704_021211,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.010624378304214964
GW230704_021211,chirp_mass_source,SEOBNRv5PHM,NRSur7dq4,0.022811019223979094
GW230704_021211,chi_eff,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,0.04745705033165749
GW230704_021211,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.020365035833277454
GW230704_021211,chi_eff,SEOBNRv5PHM,NRSur7dq4,0.027523618413488958
