event,zenodo_record,filename,expected_size_bytes,observed_size_bytes,expected_md5,observed_md5,sha256,identity_pass,deleted_after_use,download_seconds
GW230601_224134,20275769,IGWN-GWTC4p1-18965dda8_5-GW230601_224134-combined_PEDataRelease.hdf5,208421000,208421000,c784bcc7b70a00937306dc19d9244ae3,c784bcc7b70a00937306dc19d9244ae3,b3cfc92d73606f61bbed324a95ddad74e0cd5c70e605681301dee69e91cb9ce5,True,True,85.10969502099988
GW230606_004305,20275769,IGWN-GWTC4p1-18965dda8_5-GW230606_004305-combined_PEDataRelease.hdf5,174184228,174184228,89180fc8d9011403b890a9d994fb5f61,89180fc8d9011403b890a9d994fb5f61,8c4f6979e9367dc7f879413833c90a408d8c5d7dac94dc4bb59b1b2368c6c71c,True,True,46.817449334
GW230608_205047,20275769,IGWN-GWTC4p1-18965dda8_5-GW230608_205047-combined_PEDataRelease.hdf5,139143156,139143156,e454ed69a9ba97dfcee175be706529ad,e454ed69a9ba97dfcee175be706529ad,53de0aed448f8e6ce1cfb8dbe5c64d47bf93f3d7686568b657f84f5eddfec20d,True,True,140.31551035999996
GW230609_064958,20275769,IGWN-GWTC4p1-18965dda8_5-GW230609_064958-combined_PEDataRelease.hdf5,169252900,169252900,42d9e21d622cea8a1d68dec7a569210b,42d9e21d622cea8a1d68dec7a569210b,974d638a2d4e3179ca15e34d4237bbb5ab90e249375cb22f13f8a23bef43bab1,True,True,181.60399620099997
GW230628_231200,20275769,IGWN-GWTC4p1-18965dda8_5-GW230628_231200-combined_PEDataRelease.hdf5,159650500,159650500,34e6cd5a50ef8908a3a3c1ee3e1c6260,34e6cd5a50ef8908a3a3c1ee3e1c6260,180189f779d65ce5c71dc6cd351c5d821ab1855568ac6d131c1b13e9d416aaec,True,True,173.20251983200023
GW230630_125806,20275769,IGWN-GWTC4p1-18965dda8_5-GW230630_125806-combined_PEDataRelease.hdf5,133330396,133330396,dda4ac33fb63c43939ab43a85b3d5ef2,dda4ac33fb63c43939ab43a85b3d5ef2,af9bf75a132cc99ff8f5e582b126e2942e5a75d24f78766122230dfea0cbff53,True,True,88.01572668300014
GW230702_185453,20275769,IGWN-GWTC4p1-18965dda8_5-GW230702_185453-combined_PEDataRelease.hdf5,149600052,149600052,301a543eda485dc968f847e67551ef6e,301a543eda485dc968f847e67551ef6e,9de41e50387ba665fe4d4aaae31d30f4c8cd9b427fe975f3e2cc90d473ad129b,True,True,59.554734944999836
GW230704_021211,20275769,IGWN-GWTC4p1-18965dda8_5-GW230704_021211-combined_PEDataRelease.hdf5,205810816,205810816,267cf091f4ab0c3a3d2596df25251553,267cf091f4ab0c3a3d2596df25251553,ff7ead142ff40da0d4284fbdb9b6e0175686c0990168fd76ca3958e363bf30ae,True,True,242.66721276700036
GW230707_124047,20275769,IGWN-GWTC4p1-18965dda8_5-GW230707_124047-combined_PEDataRelease.hdf5,123326020,123326020,edd6e0de6ba099b0fb54dfa694511018,edd6e0de6ba099b0fb54dfa694511018,32f9b08e169dfc24f5764f2e599ee7ea2901fa8fc9cde68984ec2902f06367e2,True,True,150.18153690400004
GW230708_053705,20275769,IGWN-GWTC4p1-18965dda8_5-GW230708_053705-combined_PEDataRelease.hdf5,196962708,196962708,c85e163f03c9c64f2f6a4e51491ddcb9,c85e163f03c9c64f2f6a4e51491ddcb9,4a97a998bde3c7b804de4c9db2e8688c2112128dc767ca3b1e62e66caed9625b,True,True,89.77573550299985
GW230708_230935,20275769,IGWN-GWTC4p1-18965dda8_5-GW230708_230935-combined_PEDataRelease.hdf5,205603600,205603600,96e15b4b9793e73b76e4a43708833dfb,96e15b4b9793e73b76e4a43708833dfb,61ee8fdc277870d5ca8e55ead9ce6af9fa0699a254165e9586b7b2e898634710,True,True,46.48077640600013
GW230709_122727,20275769,IGWN-GWTC4p1-18965dda8_5-GW230709_122727-combined_PEDataRelease.hdf5,176977628,176977628,bccd07e8b4bcc936d9a4c573cbb8cd48,bccd07e8b4bcc936d9a4c573cbb8cd48,9132dc03a963db7e34741e408968cb3deb8ed01458b37f75cbdcd831d0c95cec,True,True,269.9987443379996
GW230726_002940,20275769,IGWN-GWTC4p1-18965dda8_5-GW230726_002940-combined_PEDataRelease.hdf5,74569324,74569324,565915d31c5978097ff68740898abf5d,565915d31c5978097ff68740898abf5d,53bae436997f54d6d992e6da16cf4bfac42db337f25b8b1acec0d30c3a404966,True,True,41.84066883300011
GW230805_034249,20275769,IGWN-GWTC4p1-18965dda8_5-GW230805_034249-combined_PEDataRelease.hdf5,134444012,134444012,0197fc2c8c9b6f4db2e57a0214a59209,0197fc2c8c9b6f4db2e57a0214a59209,49a2511fc7e31dc3e2431efcab3cd3cd3da076a5a607981b2b4d457440665e0b,True,True,30.51262653699996
GW230806_204041,20275769,IGWN-GWTC4p1-18965dda8_5-GW230806_204041-combined_PEDataRelease.hdf5,128897268,128897268,3fdc93687c346f0782aafbbe47ebaa37,3fdc93687c346f0782aafbbe47ebaa37,4b013051ced00b7844ee5be7539086e4171e4c1f5a79eecf1ffa48445e39d923,True,True,27.61162606200014
GW230811_032116,20275769,IGWN-GWTC4p1-18965dda8_5-GW230811_032116-combined_PEDataRelease.hdf5,209489644,209489644,bc8068a0ed1c278f6e1b0fefb3aa6173,bc8068a0ed1c278f6e1b0fefb3aa6173,ecb3041178e898f1d941af5ba7a744a8b124796a98393f5d5cfa3e50445b195c,True,True,243.7709588749999
GW230814_061920,20275769,IGWN-GWTC4p1-18965dda8_5-GW230814_061920-combined_PEDataRelease.hdf5,218275368,218275368,c847b584b9ea48d061613033e2d3bac8,c847b584b9ea48d061613033e2d3bac8,4638eeffeef6a52e2652d8e283056c6eec051d2cf1b34796d05bd82364620e4d,True,True,65.68713760699984
GW230814_230901,20275769,IGWN-GWTC4p1-18965dda8_5-GW230814_230901-combined_PEDataRelease.hdf5,140070632,140070632,ed07745b88c75f203a8c0c493295837a,ed07745b88c75f203a8c0c493295837a,fb75b2f099aa8a656af7a6feedadec9c4cacbbdc6d27d89c9bbdb896bc739cf0,True,True,211.0061903789997
GW230824_033047,20275769,IGWN-GWTC4p1-18965dda8_5-GW230824_033047-combined_PEDataRelease.hdf5,124494540,124494540,782dd524c0a3bb64dfcb0eb9657e7b48,782dd524c0a3bb64dfcb0eb9657e7b48,f6b8448ad74b495f7879d79e5d94368a5a7e502eee96f95bf369a7233290c5cb,True,True,25.6752078049999
GW230825_041334,20275769,IGWN-GWTC4p1-18965dda8_5-GW230825_041334-combined_PEDataRelease.hdf5,234654040,234654040,d0ee63713e9937bc1d8b6eae7a99eceb,d0ee63713e9937bc1d8b6eae7a99eceb,28d84b7f63a45cefd8c6c1f717717a81cd3dae1643deae9c768dbbaa3583ab71,True,True,63.70785004000027
GW230914_111401,20275769,IGWN-GWTC4p1-18965dda8_5-GW230914_111401-combined_PEDataRelease.hdf5,310927088,310927088,51230a054c17048c9bed334f77e01645,51230a054c17048c9bed334f77e01645,3fdac185ea4fd0982003f5a10b6d93cf5d39051d58371174d7ac5ff48a7db11f,True,True,79.816264736
GW230920_071124,20275769,IGWN-GWTC4p1-18965dda8_5-GW230920_071124-combined_PEDataRelease.hdf5,127739892,127739892,083bf4798fd486a653342823040191c4,083bf4798fd486a653342823040191c4,36678928b009718223db1ee4425d1f3fc77c661919c272215e9178b7beb75812,True,True,40.56226865000008
GW230922_020344,20275769,IGWN-GWTC4p1-18965dda8_5-GW230922_020344-combined_PEDataRelease.hdf5,193557020,193557020,dcbffeb42fc9784c5c3d7a908e62da67,dcbffeb42fc9784c5c3d7a908e62da67,b17f46cd333f3b0a3e47cbc9750895b6ca2d53085b814356c6dc8e7694dcae4a,True,True,60.627702682999825
GW230922_040658,20275769,IGWN-GWTC4p1-18965dda8_5-GW230922_040658-combined_PEDataRelease.hdf5,132867268,132867268,5372e3092a3583084347d971bcdc0f10,5372e3092a3583084347d971bcdc0f10,f67b5370788dde60f9502514e270ed07c569d4fc0844c9df5e44cc47046a818c,True,True,52.898366628000076
GW230924_124453,20275769,IGWN-GWTC4p1-18965dda8_5-GW230924_124453-combined_PEDataRelease.hdf5,164493052,164493052,d1340a66c775f8df610d55824dcd88c6,d1340a66c775f8df610d55824dcd88c6,79945b8d0bf97c49914dc3e55a364a2716dfdfd0e6a5b6dff592ebc25c602f52,True,True,51.31962300300074
GW230927_043729,20275769,IGWN-GWTC4p1-18965dda8_5-GW230927_043729-combined_PEDataRelease.hdf5,187177772,187177772,662887c1358e9782b16dc24e7127a170,662887c1358e9782b16dc24e7127a170,ac858b63cae70425c9f70e2cc748f9a210f64c0d36e0da6eca8e75fcb9c27848,True,True,80.14167366400034
GW230928_215827,20275769,IGWN-GWTC4p1-18965dda8_5-GW230928_215827-combined_PEDataRelease.hdf5,165859244,165859244,cf6cc4663a8eb2f523e39e6c129c27b5,cf6cc4663a8eb2f523e39e6c129c27b5,4223132fa36685ba407b8ef9a435ca2447f9ee83a7b690600ec2db6feb30aa1c,True,True,44.08149017699998
GW230930_110730,20275769,IGWN-GWTC4p1-18965dda8_5-GW230930_110730-combined_PEDataRelease.hdf5,121362316,121362316,0967545f048899d6d8da2984aa0fa777,0967545f048899d6d8da2984aa0fa777,66d0d641d6b18b06d3660ac2b1ada68355ac223d32bf4d6012aace0a6db2f84b,True,True,70.31102972600002
GW231005_091549,20275769,IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5,131475596,131475596,ffef7e0e110476c7574e51a9e6c51951,ffef7e0e110476c7574e51a9e6c51951,a87c003a4e8f640855e2080cb3eb7c8bf4cd762c3dcb02431fa18e609d8e3b38,True,True,128.07351830800053
GW231008_142521,20275769,IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5,151337612,151337612,8a4b37bc5cd7393ffb4eb3bacd038118,8a4b37bc5cd7393ffb4eb3bacd038118,ad268ad0ef74f2c1f3957acedf31535c994fd61edb7e63fdf57a14c4924366c9,True,True,106.23211419099971
GW231028_153006,20275769,IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5,312029656,312029656,bd34b41211d2a29b0c490733ca6d0beb,bd34b41211d2a29b0c490733ca6d0beb,24e95c071812664788d2498b5b2530afd776a1ead57dbfeed4a474eff610151d,True,True,158.40822904499964
GW231029_111508,20275769,IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5,121798920,121798920,e17196390e1cf6635049d56e7761d79e,e17196390e1cf6635049d56e7761d79e,86f4f35e66517ab10d66d6de64d45b1263323790d38c092185b2e32d0b333382,True,True,29.525545657000293
GW231102_071736,20275769,IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5,210699480,210699480,68e9ff2eb83aa971bdf25311d22b2754,68e9ff2eb83aa971bdf25311d22b2754,589b76f406e2c48fb34dc0226f0ba2f367327c4ed4cf4895aa0e47702fc78e99,True,True,74.0844172069992
GW231118_071402,20275769,IGWN-GWTC4p1-18965dda8_5-GW231118_071402-combined_PEDataRelease.hdf5,224871880,224871880,9a08f1680e2ab52bd860f18312878881,9a08f1680e2ab52bd860f18312878881,6e78361db339ac1741989b65ba70f6423917ca30801f7b9a430747b0dffa2bed,True,True,104.7070404240003
GW231119_075248,20275769,IGWN-GWTC4p1-18965dda8_5-GW231119_075248-combined_PEDataRelease.hdf5,113668396,113668396,09c5d109b418186d1e8a4dcc0eff71c6,09c5d109b418186d1e8a4dcc0eff71c6,ffee0a38d10d1dcd2139dc44068814e66f4d7fa77c0302ff736e3751e5936ce5,True,True,80.91780512300011
GW231123_135430,20275769,IGWN-GWTC4p1-18965dda8_5-GW231123_135430-combined_PEDataRelease.hdf5,306951852,306951852,2b78d0979bd861cbd333682c7d717c30,2b78d0979bd861cbd333682c7d717c30,ac0ead2a8bafeb6152a00d852ce08968b332a2bed5002553be8cb46f4265eb47,True,True,87.85222143700048
GW231127_165300,20275769,IGWN-GWTC4p1-18965dda8_5-GW231127_165300-combined_PEDataRelease.hdf5,125439756,125439756,a4f431762a1cc3070f5322f86cab7dc5,a4f431762a1cc3070f5322f86cab7dc5,3d7fce025a734cfe06ff6cc8f687aad59790aa2c25004ccb4b3e369120cd04ea,True,True,39.199364637000144
GW231129_081745,20275769,IGWN-GWTC4p1-18965dda8_5-GW231129_081745-combined_PEDataRelease.hdf5,228426936,228426936,fbc55a05ab879c020aece36d62210755,fbc55a05ab879c020aece36d62210755,3d90ace4c105c467c687e52b822f0b894675d44bb8521e1baf59c84e27e5e3c7,True,True,184.8740272899995
GW231206_233134,20275769,IGWN-GWTC4p1-18965dda8_5-GW231206_233134-combined_PEDataRelease.hdf5,131615660,131615660,0c77f39e47b8a67bcc86ee7290fe4ec9,0c77f39e47b8a67bcc86ee7290fe4ec9,a23fa9fbb6caa69849e6ed1968f37ce96f7598edd830ccb650c8efcace11cc8b,True,True,46.09688735199961
GW231206_233901,20275769,IGWN-GWTC4p1-18965dda8_5-GW231206_233901-combined_PEDataRelease.hdf5,189649148,189649148,326d94a167fea38582079d0547aac8a1,326d94a167fea38582079d0547aac8a1,ca144927366031effda10f813d79cb6ed71a10cfd0fb598835daa8cbf022aa1e,True,True,72.80377689299985
GW231213_111417,20275769,IGWN-GWTC4p1-18965dda8_5-GW231213_111417-combined_PEDataRelease.hdf5,134674684,134674684,bdc7ec66fc6c6a23640e6d6e62b6b4dc,bdc7ec66fc6c6a23640e6d6e62b6b4dc,30cc8d12f52ab292d05fbbc9a49b0eafb3f749de43e65dfbbc2645c531844570,True,True,24.28749577599956
GW231223_032836,20275769,IGWN-GWTC4p1-18965dda8_5-GW231223_032836-combined_PEDataRelease.hdf5,135835308,135835308,e4e55e4134dcf23fc89285454696978e,e4e55e4134dcf23fc89285454696978e,6db821aa114a5cd21a09ada4dfc2a0b8afa5203cf5d702ebbb3ce1881a8934d6,True,True,36.690252958999736
GW231226_101520,20275769,IGWN-GWTC4p1-18965dda8_5-GW231226_101520-combined_PEDataRelease.hdf5,596091584,596091584,0bb90cbcd4dc24c37a8c683efd4f5e47,0bb90cbcd4dc24c37a8c683efd4f5e47,611cb4c64129a3048382f1afc862b521968d533247c7fe7a2c813aaa8f6087c2,True,True,127.40309239900034
GW240104_164932,20275769,IGWN-GWTC4p1-18965dda8_5-GW240104_164932-combined_PEDataRelease.hdf5,83999452,83999452,7fd1eaff7232658722348973f3793bc3,7fd1eaff7232658722348973f3793bc3,c0f871187e48f0c4bc79dda7c6ab81da9286494262eb4fdca8f7e392e6281884,True,True,97.87323866899987
