source_id,landing_source_id,expected_record_id,observed_record_id,record_id_ok,expected_doi,observed_doi,doi_ok,expected_version,observed_version,version_evidence,version_ok,summary_filename,summary_size_bytes,summary_checksum,archive_filename,archive_size_bytes,archive_checksum,notebook_filename,notebook_size_bytes,notebook_checksum,asset_set_ok,dual_release_identity_ok
Z40,Z40L,17602502,17602502,true,10.5281/zenodo.17602502,10.5281/zenodo.17602502,true,v3,v3,ZENODO_LANDING_PAGE,true,IGWN-GWTC4p0-38214bd95_724-SearchSummaryTable.hdf5,991164,md5:6cb1f673fa8c6f1735a39874ca0ffa11,IGWN-GWTC4p0-38214bd95_724-Archived_SearchResults.tar.gz,1012555386,md5:caa4b80c0f9df04378fd77d366f40edb,GWTC4p0_search_data_release.ipynb,345511,md5:d8c801ae572a2480f029d9812a948c44,true,true
Z41,Z41L,20276095,20276095,true,10.5281/zenodo.20276095,10.5281/zenodo.20276095,true,v1,v1,ZENODO_LANDING_PAGE,true,IGWN-GWTC4p1-18965dda8_5-SearchSummaryTable.hdf5,1034296,md5:f2d06f3aab80de8ec4aa97664b323498,IGWN-GWTC4p1-18965dda8_5-Archived_SearchResults.tar.gz,1093870949,md5:7ac7c302c66032e037a4f04c982e0bd7,GWTC4p1_search_data_release.ipynb,303660,md5:a3bcd598f069154a9481249f17a9621c,true,true
