source_id,release_id,kind,url,final_url,http_status,bytes_saved,sha256,md5,size_ok,md5_ok,truncated,status,error
Z40,GWTC-4.0,metadata,https://zenodo.org/api/records/17602502,https://zenodo.org/api/records/17602502,200,12604,19c05cdc8ad5a32ec273412a47f6d697c81bbdd5a21192aad7829e4714f27bdb,57182efee62cd49210c5082bc858e41a,true,true,false,PASS,
Z40L,GWTC-4.0,landing,https://zenodo.org/records/17602502,https://zenodo.org/records/17602502,200,125758,1628978aa7c5f2eb4dcb4e695c98110ed52875d32b08e02f0b558b004baf5ad6,3620438bdda45bd6984e398b753a3000,true,true,false,PASS,
H40,GWTC-4.0,summary_hdf,https://zenodo.org/api/records/17602502/files/IGWN-GWTC4p0-38214bd95_724-SearchSummaryTable.hdf5/content,https://zenodo.org/api/records/17602502/files/IGWN-GWTC4p0-38214bd95_724-SearchSummaryTable.hdf5/content,200,991164,5e1894acc8e2b1faf3d6aeb36b5f1afd9e6ca68298e2561a847ce4279bb1367a,6cb1f673fa8c6f1735a39874ca0ffa11,true,true,false,PASS,
N40,GWTC-4.0,reader_notebook,https://zenodo.org/api/records/17602502/files/GWTC4p0_search_data_release.ipynb/content,https://zenodo.org/api/records/17602502/files/GWTC4p0_search_data_release.ipynb/content,200,345511,4a13ab5d94a0a17ebf83f542b2c5c96d86e40b9172b962c558a944548787c259,d8c801ae572a2480f029d9812a948c44,true,true,false,PASS,
Z41,GWTC-4.1,metadata,https://zenodo.org/api/records/20276095,https://zenodo.org/api/records/20276095,200,12666,009b2894ad1305454c4824d555c68aeae42d530da9570ba765ea9a8954a1a2a7,e8df85be816c13b23d587c896e9e740e,true,true,false,PASS,
Z41L,GWTC-4.1,landing,https://zenodo.org/records/20276095,https://zenodo.org/records/20276095,200,126235,cce2f8e20b9919400cc773da70b643fe73977ff0d33a1dc1d645de62d671369a,6ec060239983db0db813f0b88b3ed321,true,true,false,PASS,
H41,GWTC-4.1,summary_hdf,https://zenodo.org/api/records/20276095/files/IGWN-GWTC4p1-18965dda8_5-SearchSummaryTable.hdf5/content,https://zenodo.org/api/records/20276095/files/IGWN-GWTC4p1-18965dda8_5-SearchSummaryTable.hdf5/content,200,1034296,af99b484068a4b4141d48b0fed2ddcc939c33ddce22bba266b08f78c8d68ac0f,f2d06f3aab80de8ec4aa97664b323498,true,true,false,PASS,
N41,GWTC-4.1,reader_notebook,https://zenodo.org/api/records/20276095/files/GWTC4p1_search_data_release.ipynb/content,https://zenodo.org/api/records/20276095/files/GWTC4p1_search_data_release.ipynb/content,200,303660,9ea242cca24b59567629a7fe5d40f59b68066557871d70da7edc07fc98fd701e,a3bcd598f069154a9481249f17a9621c,true,true,false,PASS,
