group,events,summary_metric_min,summary_metric_median,summary_metric_max,posterior_median_W1_min,posterior_median_W1_median,posterior_median_W1_max,CLEAR_min,CLEAR_median,CLEAR_max
TIER_A_RANKS_1_7,7,0.117097505931161,0.1312999842669179,0.2087676235693899,0.0874465151219338,0.0974332273778903,0.1242585817538777,17,19.0,21
TIER_B_UPPER_BOUNDARY_RANK_8,1,0.1083931893552047,0.1083931893552047,0.1083931893552047,0.0679938600341517,0.0679938600341517,0.0679938600341517,16,16.0,16
TIER_B_LOWER_BOUNDARY_RANK_13,1,0.073489147497078,0.073489147497078,0.073489147497078,0.0532214101690202,0.0532214101690202,0.0532214101690202,11,11.0,11
