endpoint_id,pair_id,event_id,role,target_id,key_exact,key_canonical,line_number,section,declaration_scope,inherited_into_sections,inherited_reference_count,value_text,value_text_truncated,value_sha256
PAIR00225:VARIANT,PAIR00225,GW230824_033047,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00225:VARIANT,PAIR00225,GW230824_033047,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,3,2,0)]",false,8075378dd5a2edf48eebd53e80d9db914f017e62321215bc792b03c8bc4b9705
PAIR00270:BASE,PAIR00270,GW230914_111401,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00270:BASE,PAIR00270,GW230914_111401,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00270:VARIANT,PAIR00270,GW230914_111401,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00270:VARIANT,PAIR00270,GW230914_111401,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,0,0)]",false,0d595cf40cf2425dc35d46e50a22b46261bb94fc6f61b36520f527c1cd03168f
PAIR00315:BASE,PAIR00315,GW230922_020344,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00315:BASE,PAIR00315,GW230922_020344,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00315:VARIANT,PAIR00315,GW230922_020344,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00315:VARIANT,PAIR00315,GW230922_020344,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,1,0)]",false,26acb063da48cd3d13b325c6fcf635766d64ae0318ecb9d7b68d86e24b01ef1a
PAIR00360:BASE,PAIR00360,GW230922_040658,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00360:BASE,PAIR00360,GW230922_040658,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00360:VARIANT,PAIR00360,GW230922_040658,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00360:VARIANT,PAIR00360,GW230922_040658,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00405:BASE,PAIR00405,GW230924_124453,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00405:BASE,PAIR00405,GW230924_124453,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00405:VARIANT,PAIR00405,GW230924_124453,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00405:VARIANT,PAIR00405,GW230924_124453,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00450:BASE,PAIR00450,GW230927_043729,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00450:BASE,PAIR00450,GW230927_043729,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00450:VARIANT,PAIR00450,GW230927_043729,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00450:VARIANT,PAIR00450,GW230927_043729,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00495:BASE,PAIR00495,GW230927_153832,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00495:BASE,PAIR00495,GW230927_153832,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00495:VARIANT,PAIR00495,GW230927_153832,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00495:VARIANT,PAIR00495,GW230927_153832,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,1,0)]",false,26acb063da48cd3d13b325c6fcf635766d64ae0318ecb9d7b68d86e24b01ef1a
