endpoint_id,pair_id,event_id,role,config_member,config_size_bytes,config_sha256,utf8_state,configparser_state,physical_line_count,section_count,section_names,default_direct_declaration_count,local_direct_declaration_count,total_direct_declaration_count,continuation_line_count,target_like_direct_declaration_count,af_min_direct_count,af_max_direct_count,fix_af_direct_count,kerr_modes_direct_count,default_inherited_reference_count,structure_state,unresolved_reason,raw_config_retained
PAIR00018:BASE,PAIR00018,GW230601_224134,BASE,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_np_10M/config_GW230601_224134_Kerr_220_np_10M.ini,1097,08d45d497c2c2c8561caab572ea42e0944b72dfa9eb5ef7d028add5d43e9bcf2,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00018:VARIANT,PAIR00018,GW230601_224134,VARIANT,pyring/samples/GW230601_224134/GW230601_224134_Kerr_220_330_np_10M/config_GW230601_224134_Kerr_220_330_np_10M.ini,1108,474c01b659882d3861f6d41e9539d24e6bf6d0aecfb331feda61eaaabf374cdf,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00063:BASE,PAIR00063,GW230609_064958,BASE,pyring/samples/GW230609_064958/GW230609_064958_Kerr_220_np_10M/config_GW230609_064958_Kerr_220_np_10M.ini,1095,36ed73834ef3aad9ebadffaed020eb4e6dbf4e74f30cd86075039fa3ca1aa9b0,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00063:VARIANT,PAIR00063,GW230609_064958,VARIANT,pyring/samples/GW230609_064958/GW230609_064958_Kerr_221_np_10M/config_GW230609_064958_Kerr_221_np_10M.ini,1106,f13dd39cfc090b3e2550caab11071352ac943c3df27489ba06010c86fe935d4a,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00106:BASE,PAIR00106,GW230628_231200,BASE,pyring/samples/GW230628_231200/GW230628_231200_Kerr_220_np_10M/config_GW230628_231200_Kerr_220_np_10M.ini,1095,92b879d00aaa51d4f78fd14ee76e97acca2f93c766f7da72c2853e59d05dcdc4,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00106:VARIANT,PAIR00106,GW230628_231200,VARIANT,pyring/samples/GW230628_231200/GW230628_231200_Kerr_221_np_10M/config_GW230628_231200_Kerr_221_np_10M.ini,1106,9cb02fb3f8820ac054051de73d978bb0594474f86071ba7f892e5e8f51514df0,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00144:BASE,PAIR00144,GW230811_032116,BASE,pyring/samples/GW230811_032116/GW230811_032116_Kerr_220_np_10M/config_GW230811_032116_Kerr_220_np_10M.ini,1095,84cea20f25b7af4c0fc84725be33d148ba88944ded3455b6902bdfff55c38d9b,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00144:VARIANT,PAIR00144,GW230811_032116,VARIANT,pyring/samples/GW230811_032116/GW230811_032116_Kerr_221_np_10M/config_GW230811_032116_Kerr_221_np_10M.ini,1106,14d24c3d4596927d39bbdf00146a9765809072caedc21e8221870bfa1774db02,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00187:BASE,PAIR00187,GW230814_061920,BASE,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_np_10M/config_GW230814_061920_Kerr_220_np_10M.ini,1095,dcdf0c568e8f1a897e8e0c56c0051cf4622ba5ec73a2e9c0fb1dfe043de38ed1,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00187:VARIANT,PAIR00187,GW230814_061920,VARIANT,pyring/samples/GW230814_061920/GW230814_061920_Kerr_220_200_np_10M/config_GW230814_061920_Kerr_220_200_np_10M.ini,1106,4f85dcb707e12df98300e55e7d33f64d4429a321a36938777f8f39163c23e422,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00225:BASE,PAIR00225,GW230824_033047,BASE,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_np_10M/config_GW230824_033047_Kerr_220_np_10M.ini,1097,92b93dd3181244ad162d8b2428a4d4d6ba1535f77be116d5960db5eb36eb83c7,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00225:VARIANT,PAIR00225,GW230824_033047,VARIANT,pyring/samples/GW230824_033047/GW230824_033047_Kerr_220_320_np_10M/config_GW230824_033047_Kerr_220_320_np_10M.ini,1108,16efefe07903db96ca8d8a68b530c11cfb2939d525c9fbd3ddd46e05cc8db647,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00270:BASE,PAIR00270,GW230914_111401,BASE,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_np_10M/config_GW230914_111401_Kerr_220_np_10M.ini,1094,b2979d2d55b86ab8735be879e013b616e5e5a8e4fd5cc5df5eb4f90a2491f9bb,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
PAIR00270:VARIANT,PAIR00270,GW230914_111401,VARIANT,pyring/samples/GW230914_111401/GW230914_111401_Kerr_220_200_np_10M/config_GW230914_111401_Kerr_220_200_np_10M.ini,1105,046bc70882885a4429186efcaec9705838b17ac42abdb3f2620df82f60d5c94d,PASS,PASS,74,5,input|Sampler settings|Priors|Injection|Plot,0,55,55,0,2,0,0,0,1,0,CAPTURED,,false
