candidate_key,detector,final_dependency_class,robustness_classification_stability,gating_presence_robustness,public_layer_attribution_grade,production_search_attribution_grade,confirmatory_materiality_enabled,protocol_deviation_label
PAIR:S231025ap,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231108u,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231108u,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231127ag,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,WINDOW_SENSITIVE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231127ag,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231206c,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231206c,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231221ax,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231221ax,L1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
PAIR:S231223bg,H1,PUBLIC_REPRESENTATION_SPECIFIC,STABLE,STABLE,DIRECT,UNRESOLVED_NOT_CLAIMED,FALSE,PROTOCOL_DEVIATION_BOUNDED_23
